frame,n,p50_us,p95_us,p99_us,max_us,over,temp_c,cur_khz,volt_uv,curr_ua,power_mw,aud_q,aud_under,aud_over
60,60,19331,19331,19331,19331,58,36,408000,3962000,,,2393,6,71
120,60,19331,19331,25422,25422,49,35,1416000,3965000,,,1382,1,72
180,60,7036,7872,8630,8630,0,38,1608000,3930000,,,2219,0,3
240,60,4530,7242,7457,7457,0,39,1200000,3937000,,,3056,0,1
300,60,4497,5348,5533,5533,0,39,1608000,3932000,,,2012,0,10
360,60,6995,7971,8812,8812,0,40,1008000,3926000,,,2849,0,10
420,60,13062,16935,17411,17411,11,38,408000,3951000,,,0,23,5
480,60,13214,16973,17872,17872,7,38,408000,3947000,,,0,37,0
540,60,11097,13965,14657,14657,0,38,600000,3934000,,,1470,31,0
600,60,13164,16813,17706,17706,8,39,408000,3941000,,,0,38,0
660,60,16710,16908,21509,21509,46,38,408000,3953000,,,2741,17,45
720,60,10130,40479,42107,42107,21,37,408000,3937000,,,3578,0,57
780,60,9118,40215,40867,40867,17,36,408000,3956000,,,2534,0,62
840,60,9302,41270,41677,41677,21,36,408000,3952000,,,3371,0,61
900,60,9070,39642,41276,41276,12,36,408000,3959000,,,2327,0,63
960,60,9590,40727,41695,41695,17,36,408000,3956000,,,3164,0,58
1020,60,9164,40037,42640,42640,14,36,408000,3959000,,,2120,0,64
1080,60,9403,41118,42329,42329,18,36,408000,3952000,,,2957,0,59
1140,60,9717,40058,41805,41805,17,36,408000,3954000,,,1913,0,60
1200,60,9276,41139,41486,41486,14,36,408000,3954000,,,2750,0,57
1260,60,9509,39919,41759,41759,16,36,408000,3953000,,,3587,0,60
1320,60,9466,40323,41665,41665,12,36,408000,3956000,,,2543,0,61
1380,60,9375,40002,40309,40309,15,36,408000,3952000,,,3380,0,60
1440,60,9595,39615,41248,41248,16,36,408000,3955000,,,2336,0,60
1500,60,9616,40262,40774,40774,19,36,408000,3950000,,,3173,0,57
1560,60,9632,39489,41774,41774,17,36,408000,3945000,,,2129,0,60
1620,60,9235,41331,41438,41438,15,36,408000,3929000,,,2966,0,63
1680,60,9817,41492,41665,41665,20,35,408000,3958000,,,1922,0,62
1740,60,9075,40297,41179,41179,13,36,408000,3942000,,,2759,0,59
1800,60,9096,39240,42378,42378,17,36,408000,3959000,,,3596,0,61
1860,60,8807,41081,42294,42294,11,36,408000,3946000,,,2552,0,62
1920,60,9273,40415,41400,41400,15,36,408000,3957000,,,3389,0,60
1980,60,9209,38653,40567,40567,15,36,408000,3952000,,,2345,0,63
2040,60,10257,40739,41740,41740,18,36,408000,3951000,,,3182,0,57
2100,60,9747,40492,40783,40783,17,36,408000,3957000,,,2138,0,60
2160,60,9684,40759,41556,41556,18,36,408000,3952000,,,2975,0,56
2220,60,9666,40969,41586,41586,18,36,1416000,3956000,,,1931,0,63
2280,60,9074,38898,39893,39893,15,36,600000,3950000,,,2768,0,59
2340,60,9434,40552,40592,40592,17,36,408000,3954000,,,3605,0,59
2400,60,9275,40601,40812,40812,13,36,408000,3956000,,,2561,0,61
2460,60,9654,40540,40646,40646,19,36,408000,3960000,,,3398,0,59
2520,60,9234,39927,40550,40550,13,36,408000,3946000,,,2354,0,60
2580,60,9564,39584,40404,40404,15,36,408000,3955000,,,3191,0,58
2640,60,9923,40441,41124,41124,16,36,408000,3940000,,,2147,0,62
2700,60,9616,39840,39973,39973,16,36,408000,3954000,,,2984,0,58
2760,60,9296,40550,42047,42047,16,36,408000,3933000,,,1940,0,63
2820,60,9271,39666,41066,41066,14,36,408000,3943000,,,2777,0,58
2880,60,9230,40171,40352,40352,16,36,408000,3952000,,,3614,0,60
2940,60,9318,40669,41604,41604,15,36,408000,3949000,,,2570,0,61
3000,60,9601,40704,41046,41046,17,36,1008000,3944000,,,3407,0,62
