t,clock,temp,cap
20394,600000,34532,44
20396,600000,34465,44
20398,600000,33996,44
20400,600000,34264,44
20402,600000,34666,44
20404,600000,34532,44
20406,600000,34532,44
20409,600000,34733,44
20411,600000,34800,44
20413,600000,34197,44
20415,600000,34398,44
20417,600000,34599,44
20419,600000,34599,44
20421,600000,34465,44
20423,600000,34331,44
20425,600000,35135,44
20427,600000,34599,44
20429,600000,34733,44
20432,600000,34733,44
20434,600000,34867,44
20436,600000,34599,44
20438,600000,34197,44
20440,600000,34599,44
20442,600000,34800,44
20444,408000,34398,44
20446,600000,34465,44
20448,600000,34264,44
20450,600000,34599,44
20452,600000,34666,44
20454,600000,34733,44
20457,600000,34867,44
20459,600000,34532,44
20461,600000,34197,44
20463,600000,34733,44
20465,600000,34465,44
20467,600000,34800,44
20469,600000,34934,44
20471,600000,34532,44
20473,600000,34934,44
20475,600000,35068,44
20477,600000,34867,44
20480,600000,34867,44
20482,600000,34934,44
20484,600000,35001,44
20486,600000,34867,44
20488,600000,35001,44
20490,600000,35068,44
20492,600000,34800,44
20494,600000,34934,44
20496,600000,35001,44
20498,600000,35135,44
20500,600000,34666,44
20503,600000,34934,44
20505,600000,34800,44
20507,600000,35470,44
20509,600000,34666,44
20511,600000,34532,44
20513,600000,35001,44
20515,600000,35135,44
20517,600000,34666,44
20519,600000,35001,44
20521,600000,34867,44
20523,600000,34666,44
20526,600000,35202,44
20528,600000,35001,44
20530,600000,35336,44
20532,600000,34532,44
20534,600000,35202,44
20536,600000,35269,44
20538,600000,34934,44
20540,600000,34264,43
20542,600000,35068,43
20544,600000,35470,43
20546,600000,34733,43
20549,600000,35001,43
20551,600000,35001,43
20553,600000,35001,43
20555,600000,34532,43
20557,600000,35135,43
20559,600000,35068,43
20561,600000,35269,43
20563,600000,35336,43
20565,600000,34934,43
20567,600000,35202,43
20569,600000,34666,43
20572,600000,35001,43
20574,600000,34800,43
20576,600000,35470,43
20578,600000,34867,43
20580,600000,35470,43
20582,600000,35336,43
20584,600000,35068,43
20586,600000,35068,43
20588,600000,35202,43
20590,600000,34934,43
20592,600000,35135,43
20595,600000,35001,43
20597,600000,35135,43
20599,600000,35269,43
20601,600000,35001,43
20603,600000,35269,43
20605,600000,34934,43
20607,600000,34398,43
20609,600000,35336,43
20611,600000,35068,43
20613,600000,35269,43
20615,600000,35202,43
20618,600000,35470,43
20620,600000,34934,43
20622,600000,35001,43
20624,600000,34867,43
20626,600000,35403,43
20628,600000,35135,43
20630,600000,35403,43
20632,600000,35537,43
20634,600000,35403,43
20636,600000,35068,43
20638,600000,35202,43
20640,600000,35403,43
20643,600000,34666,43
20645,600000,35336,43
20647,600000,35202,43
20649,600000,35537,43
20651,600000,35202,43
20653,600000,35336,43
20655,600000,35403,43
20657,600000,35001,43
20659,600000,35068,43
20661,600000,35068,43
20663,600000,35135,43
20666,600000,35202,43
20668,600000,35269,43
20670,600000,35470,43
20672,600000,35202,43
20674,600000,34934,43
20676,600000,35202,43
20678,600000,35269,43
20680,600000,35068,43
20682,600000,35470,43
20684,600000,35336,43
20686,600000,35470,43
20689,600000,35202,43
20691,600000,35537,43
20693,600000,35470,43
20695,600000,35403,43
20697,600000,35403,43
20699,600000,34934,43
20701,600000,35403,43
20703,600000,35470,43
20705,600000,35135,43
20707,600000,35403,43
20709,600000,35403,43
20712,600000,35671,43
20714,600000,35135,43
20716,600000,35671,43
20718,600000,35537,43
20720,600000,35738,43
20722,600000,35671,43
20724,600000,35068,43
20726,600000,35671,43
20728,600000,35269,43
20730,600000,35403,43
20732,600000,35403,43
20735,600000,35403,43
20737,600000,35403,43
20739,600000,35537,43
20741,600000,34800,43
20743,600000,35470,43
20745,600000,35470,43
20747,600000,35202,43
20749,600000,35202,43
20751,600000,35403,43
20753,600000,35403,43
20755,600000,35671,43
20757,600000,35470,43
20760,600000,35470,43
20762,600000,35135,43
20764,600000,35537,43
20766,600000,35738,43
20768,600000,35805,43
20770,600000,35068,43
20772,600000,35336,43
20774,600000,35269,43
20776,600000,34800,43
20778,600000,35671,43
20780,600000,35068,43
20783,600000,35403,43
20785,600000,35135,43
20787,600000,35537,43
20789,600000,35470,42
20791,600000,35805,42
20793,600000,35671,42
20795,600000,35470,42
20797,600000,35403,42
20799,600000,36140,42
20801,600000,35269,42
20803,600000,35470,42
20806,600000,35336,42
20808,600000,35403,42
20810,600000,35269,42
20812,600000,35537,42
20814,600000,35403,42
20816,600000,35202,42
20818,600000,35604,42
20820,600000,35671,42
20822,600000,35336,42
20824,600000,35537,42
20826,600000,35403,42
20829,600000,35805,42
20831,600000,35135,42
20833,600000,35336,42
20835,600000,35604,42
20837,600000,35671,42
20839,600000,35738,42
20841,600000,35537,42
20843,600000,35470,42
20845,600000,35135,42
20847,600000,35604,42
20849,600000,35403,42
20851,600000,35604,42
20854,600000,35470,42
20856,600000,35403,42
20858,600000,35470,42
20860,600000,35336,42
20862,600000,35336,42
20864,600000,35604,42
20866,600000,35537,42
20868,600000,35604,42
20870,600000,35805,42
20872,600000,35872,42
RESULT armA: cc_delta=60 window_s=481 volt_end=3575000
