t,clock,temp,cap
21188,600000,35135,41
21190,600000,35269,41
21192,600000,35470,41
21194,600000,35604,41
21196,600000,34733,41
21198,600000,35068,41
21200,600000,35537,41
21203,600000,35202,41
21205,600000,34934,41
21207,600000,35068,41
21209,600000,35202,41
21211,600000,35135,41
21213,600000,35068,41
21215,600000,35537,41
21217,600000,35269,41
21219,600000,35202,41
21221,600000,35336,41
21223,600000,35403,41
21226,600000,35336,41
21228,600000,35269,41
21230,600000,35336,41
21232,600000,35403,41
21234,600000,35336,41
21236,600000,35202,41
21238,600000,35403,41
21240,600000,35269,41
21242,600000,35135,41
21244,600000,35403,41
21246,600000,35336,41
21249,600000,35269,41
21251,600000,35470,41
21253,600000,35202,41
21255,600000,35202,41
21257,600000,35403,41
21259,600000,35202,41
21261,600000,35135,41
21263,600000,35001,41
21265,600000,35403,41
21267,600000,34934,41
21269,600000,35202,41
21272,600000,35336,41
21274,600000,35001,41
21276,600000,35470,41
21278,600000,35202,41
21280,600000,35135,41
21282,600000,35671,41
21284,600000,35738,41
21286,600000,35336,41
21288,600000,35202,41
21290,600000,35671,41
21292,600000,35470,41
21295,600000,35403,41
21297,600000,35604,41
21299,600000,35470,41
21301,600000,35470,41
21303,600000,35068,41
21305,600000,35470,41
21307,600000,35604,41
21309,600000,35336,41
21311,600000,35805,41
21313,600000,35671,41
21315,600000,35135,41
21318,600000,35068,41
21320,600000,35135,41
21322,600000,35805,41
21324,600000,35738,41
21326,600000,35537,41
21328,600000,35671,41
21330,600000,35470,41
21332,600000,35336,41
21334,600000,35872,41
21336,600000,35269,41
21338,600000,35604,41
21341,600000,35135,41
21343,600000,34934,41
21345,600000,35135,41
21347,600000,35269,41
21349,600000,35202,41
21351,600000,35269,41
21353,600000,35805,40
21355,600000,35604,40
21357,600000,35604,40
21359,600000,35537,40
21361,600000,35604,40
21364,600000,35738,40
21366,600000,35135,40
21368,600000,35805,40
21370,600000,35470,40
21372,600000,35939,40
21374,600000,35403,40
21376,600000,35805,40
21378,600000,35738,40
21380,600000,35269,40
21382,600000,35403,40
21384,600000,35738,40
21387,600000,35470,40
21389,600000,35135,40
21391,600000,36006,40
21393,600000,35671,40
21395,600000,35671,40
21397,600000,35470,40
21399,600000,35202,40
21401,600000,35403,40
21403,600000,35939,40
21405,600000,35470,40
21407,600000,35403,40
21410,600000,36073,40
21412,600000,35202,40
21414,600000,35805,40
21416,600000,35336,40
21418,600000,35671,40
21420,600000,35604,40
21422,600000,35805,40
21424,600000,35604,40
21426,600000,35939,40
21428,600000,35671,40
21430,600000,35671,40
21433,600000,36006,40
21435,600000,35470,40
21437,600000,35470,40
21439,600000,35537,40
21441,600000,35671,40
21443,600000,36006,40
21445,600000,35470,40
21447,600000,36073,40
21449,600000,35738,40
21451,600000,35805,40
21453,600000,35671,40
21456,600000,35805,40
21458,600000,35470,40
21460,600000,35671,40
21462,600000,35537,40
21464,600000,35470,40
21466,600000,35470,40
21468,600000,36073,40
21470,600000,35872,40
21472,600000,35537,40
21474,600000,35604,40
21476,600000,35738,40
21479,600000,35939,40
21481,600000,36073,40
21483,600000,35939,40
21485,600000,35537,40
21487,600000,35604,40
21489,600000,35604,40
21491,600000,35671,40
21493,600000,35939,40
21495,600000,35805,40
21497,600000,35403,40
21499,600000,35470,40
21502,600000,35604,40
21504,600000,35336,40
21506,600000,35403,40
21508,600000,35537,40
21510,600000,35738,40
21512,600000,35470,40
21514,600000,35604,40
21516,600000,35671,40
21518,600000,35872,40
21520,600000,35872,40
21523,600000,35738,40
21525,600000,35738,40
21527,600000,35403,40
21529,600000,35805,40
21531,600000,35604,40
21533,600000,35671,40
21535,600000,35738,40
21537,600000,35738,40
21539,600000,36006,40
21541,600000,35738,40
21543,600000,35671,40
21546,600000,35470,40
21548,600000,35872,40
21550,600000,35738,40
21552,600000,35872,40
21554,600000,35872,40
21556,600000,35604,40
21558,600000,36073,40
21560,600000,36073,40
21562,600000,36006,40
21564,600000,35738,40
21566,600000,35939,40
21569,600000,35671,40
21571,600000,36006,40
21573,600000,35939,40
21575,600000,35872,40
21577,600000,36006,40
21579,600000,35403,40
21581,600000,35604,40
21583,600000,35135,40
21585,600000,35671,40
21587,600000,35537,40
21589,600000,35939,40
21592,600000,35738,40
21594,600000,35269,39
21596,600000,35872,39
21598,600000,35805,39
21600,600000,35939,39
21602,600000,35336,39
21604,600000,35939,39
21606,600000,35872,39
21608,600000,36006,39
21610,600000,35872,39
21612,600000,35537,39
21615,600000,36140,39
21617,600000,35671,39
21619,600000,35872,39
21621,600000,35671,39
21623,600000,35738,39
21625,600000,35738,39
21627,600000,35805,39
21629,600000,36274,39
21631,600000,35537,39
21633,600000,36073,39
21635,600000,35671,39
21638,600000,35872,39
21640,600000,35738,39
21642,600000,36341,39
21644,600000,36006,39
21646,600000,35269,39
21648,600000,36207,39
21650,600000,35604,39
21652,600000,36006,39
21654,600000,35403,39
21656,600000,35671,39
21658,600000,35537,39
21661,600000,35738,39
21663,600000,36073,39
21665,600000,35738,39
21667,600000,35738,39
RESULT armB: cc_delta=60 window_s=481 volt_end=3567000
