t,clock,temp,cap
16127,408000,33259,59
16129,408000,33527,59
16131,408000,33259,59
16134,408000,33259,59
16136,408000,33527,59
16138,408000,33393,59
16140,408000,33594,59
16142,408000,33460,58
16144,408000,33527,58
16146,408000,33661,58
16148,408000,33326,58
16151,408000,33393,58
16153,408000,33393,58
16155,408000,33192,58
16157,408000,33259,58
16159,408000,33192,58
16161,408000,33862,58
16163,408000,32924,58
16165,408000,33393,58
16168,408000,33594,58
16170,408000,33929,58
16172,408000,33259,58
16174,408000,34063,58
16176,408000,33661,58
16178,408000,33527,58
16180,408000,33192,58
16182,408000,33929,58
16185,408000,33594,58
16187,408000,33862,58
16189,408000,33192,58
16191,408000,33594,58
16193,408000,33125,58
16195,408000,33192,58
16197,408000,33326,58
16199,408000,33460,58
16202,408000,33594,58
16204,408000,32991,58
16206,408000,33259,58
16208,408000,32991,58
16210,408000,33527,58
16212,408000,34063,58
16214,408000,32991,58
16216,408000,33728,58
16219,408000,33326,58
16221,408000,33326,58
16223,408000,33795,58
16225,408000,33527,58
16227,408000,33795,58
16229,408000,33326,58
16231,408000,33527,58
16233,408000,33929,58
16236,408000,33795,58
16238,408000,33125,58
16240,408000,33795,58
16242,408000,33795,58
16244,408000,34197,58
16246,408000,33862,58
16248,408000,33862,58
16250,408000,33527,58
16253,408000,33728,58
16255,408000,33862,58
16257,408000,33527,58
16259,408000,33728,58
16261,408000,33259,58
16263,408000,33594,58
16265,408000,33795,58
16267,408000,33929,58
16270,408000,34063,58
16272,408000,33929,58
16274,408000,34063,58
16276,408000,33393,58
16278,408000,33326,58
16280,408000,33728,58
16282,408000,33728,58
16284,408000,33393,58
16286,408000,33393,58
16289,408000,34063,58
16291,408000,34264,58
16293,408000,33460,58
16295,408000,33661,58
16297,408000,33326,58
16299,408000,34130,58
16301,408000,33527,58
16303,408000,33862,58
16306,408000,33996,58
16308,408000,34197,58
16310,408000,33795,58
16312,408000,33795,58
16314,408000,33929,58
16316,408000,33795,58
16318,408000,33661,58
16320,408000,33527,58
16323,408000,34130,58
16325,408000,33795,58
16327,408000,34063,58
16329,408000,33661,58
16331,408000,33661,58
16333,408000,33728,58
16335,408000,33326,58
16337,408000,33594,58
16340,408000,34063,58
16342,408000,33996,58
16344,408000,33929,58
16346,408000,34197,58
16348,408000,34465,58
16350,408000,33393,58
16352,408000,33996,58
16354,408000,33996,58
16357,408000,33594,57
16359,408000,33661,57
16361,408000,33862,57
16363,408000,33527,57
16365,408000,33929,57
16367,408000,33996,57
16369,408000,34197,57
16371,408000,33996,57
16374,408000,33795,57
16376,408000,33795,57
16378,408000,33929,57
16380,408000,33661,57
16382,408000,34063,57
16384,408000,33862,57
16386,408000,34130,57
16388,408000,34130,57
16391,408000,33527,57
16393,408000,33795,57
16395,408000,33661,57
16397,408000,34465,57
16399,408000,33862,57
16401,408000,33594,57
16403,408000,33862,57
16405,408000,33929,57
16407,408000,33929,57
16410,408000,33661,57
16412,408000,34465,57
16414,408000,34130,57
16416,408000,33996,57
16418,408000,34264,57
16420,408000,33661,57
16422,408000,33996,57
16424,408000,33594,57
16427,408000,33996,57
16429,408000,33862,57
16431,408000,34197,57
16433,408000,33929,57
16435,408000,33795,57
16437,408000,34398,57
16439,408000,33929,57
16441,408000,33795,57
16444,408000,33929,57
16446,408000,34331,57
16448,408000,33728,57
16450,408000,33661,57
16452,408000,34130,57
16454,408000,34130,57
16456,408000,33795,57
16458,408000,33996,57
16461,408000,34264,57
16463,408000,33862,57
16465,408000,33594,57
16467,408000,34331,57
16469,408000,33460,57
16471,408000,33795,57
16473,408000,33996,57
16475,408000,34197,57
16478,408000,34532,57
16480,408000,33795,57
16482,408000,33996,57
16484,408000,33728,57
16486,408000,33996,57
16488,408000,33795,57
16490,408000,33862,57
16492,408000,34063,57
16495,408000,33259,57
16497,408000,34130,57
16499,408000,33661,57
16501,408000,34197,57
16503,408000,33594,57
16505,408000,33795,57
16507,408000,33862,57
16509,408000,33728,57
16512,408000,34063,57
16514,408000,33929,57
16516,408000,33795,57
16518,408000,33795,57
16520,408000,34130,57
16522,408000,34130,57
16524,408000,34331,57
16526,408000,33527,57
16529,408000,34197,57
16531,408000,34398,57
16533,408000,33862,57
16535,408000,34264,57
16537,408000,34599,57
16539,408000,34264,57
16541,408000,34197,57
16543,408000,33728,57
16546,408000,34130,57
16548,408000,33929,57
16550,408000,33862,57
16552,408000,33795,57
16554,408000,34063,57
16556,408000,33929,57
16558,408000,34130,57
16560,408000,34197,57
16562,408000,34331,57
16565,408000,33996,57
16567,408000,34532,57
16569,408000,34465,57
16571,408000,34331,56
16573,408000,33795,56
16575,408000,34130,56
16577,408000,34264,56
16579,408000,34197,56
16582,408000,33661,56
16584,408000,34398,56
16586,408000,34063,56
16588,408000,33661,56
16590,408000,34130,56
16592,408000,34197,56
16594,408000,34197,56
16596,408000,33862,56
16599,408000,33862,56
16601,408000,33795,56
16603,408000,34465,56
16605,408000,33862,56
RESULT armA: cc_delta=90 window_s=480 volt_end=3652000
