t,clock,temp,cap
17016,408000,33661,55
17017,408000,33527,55
17018,408000,33527,55
17019,408000,33460,55
17020,408000,33192,55
17021,408000,33527,55
17022,408000,33661,55
17024,408000,33259,55
17024,408000,33326,55
17026,408000,33795,55
17026,408000,33527,55
17028,408000,33594,55
17029,408000,33259,55
17030,408000,33527,55
17031,408000,33192,55
17032,408000,33058,55
17033,408000,33996,55
17034,408000,33728,55
17035,408000,33661,55
17036,408000,33527,55
17037,408000,33661,55
17038,408000,33527,55
17039,408000,33728,55
17040,408000,33929,55
17041,408000,33594,55
17042,408000,33862,55
17043,408000,33728,55
17044,408000,33862,55
17046,408000,33527,55
17047,408000,33594,55
17048,408000,33192,55
17049,408000,34130,55
17050,408000,33862,55
17051,408000,33661,55
17052,408000,33326,55
17053,408000,33929,55
17054,408000,33862,55
17055,408000,33929,55
17056,408000,33795,55
17057,408000,33594,55
17058,408000,33393,55
17059,408000,33795,55
17060,408000,33661,55
17061,408000,33728,55
17063,408000,33527,55
17063,408000,33661,55
17065,408000,33527,55
17065,408000,33527,55
17067,408000,33929,55
17068,408000,33594,55
17069,408000,33929,55
17070,408000,33594,55
17071,408000,33125,55
17072,408000,33192,55
17073,408000,33795,55
17074,408000,33661,55
17075,408000,33527,55
17076,408000,33594,55
17077,408000,33527,55
17078,408000,33527,55
17080,408000,33728,55
17080,408000,33996,55
17082,408000,33728,55
17082,408000,33795,55
17084,408000,33393,55
17084,408000,33460,55
17086,408000,33192,55
17086,408000,33996,55
17088,408000,33460,54
17089,408000,33460,54
17090,408000,34130,54
17091,408000,34130,54
17092,408000,33393,54
17093,408000,33795,54
17094,408000,33661,54
17095,408000,33527,54
17097,408000,34197,54
17097,408000,34197,54
17099,408000,33929,54
17099,408000,33929,54
17101,408000,33192,54
17101,408000,33192,54
17103,408000,33661,54
17103,408000,33661,54
17105,408000,33460,54
17105,408000,33795,54
17107,408000,34063,54
17107,408000,34063,54
17109,408000,33862,54
17109,408000,33862,54
17111,408000,33929,54
17112,408000,33929,54
17114,408000,33795,54
17114,408000,33795,54
17116,408000,33661,54
17116,408000,33661,54
17118,408000,33058,54
17118,408000,33058,54
17120,408000,34063,54
17120,408000,34063,54
17122,408000,33661,54
17122,408000,33661,54
17124,408000,34197,54
17124,408000,34197,54
17126,408000,33862,54
17126,408000,33862,54
17128,408000,33862,54
17128,408000,33661,54
17130,408000,33996,54
17131,408000,33996,54
17133,408000,33996,54
17133,408000,33996,54
17135,408000,33795,54
17135,408000,33795,54
17137,408000,33661,54
17137,408000,33661,54
17139,408000,33393,54
17139,408000,34264,54
17141,408000,33594,54
17141,408000,34063,54
17143,408000,33862,54
17143,408000,33862,54
17145,408000,33996,54
17145,408000,33996,54
17147,408000,33862,54
17147,408000,33862,54
17149,408000,33929,54
17150,408000,33527,54
17151,408000,34130,54
17152,408000,33594,54
17154,408000,33929,54
17154,408000,34264,54
17156,408000,34197,54
17156,408000,34197,54
17158,408000,34264,54
17158,408000,34264,54
17160,408000,34130,54
17160,408000,34063,54
17162,408000,34331,54
17162,408000,34331,54
17164,408000,33795,54
17164,408000,33728,54
17166,408000,34130,54
17167,408000,33996,54
17168,408000,33929,54
17169,408000,33929,54
17170,408000,33862,54
17171,408000,34130,54
17172,408000,34063,54
17173,408000,33996,54
17174,408000,33862,54
17175,408000,33527,54
17177,408000,33795,54
17177,408000,33795,54
17179,408000,33996,54
17179,408000,33996,54
17181,408000,33594,54
17181,408000,33929,54
17183,408000,33929,54
17184,408000,33594,54
17185,408000,33996,54
17186,408000,34197,54
17187,408000,34130,54
17188,408000,33929,54
17189,408000,34331,54
17190,408000,33996,54
17191,408000,34063,54
17192,408000,33996,54
17193,408000,34130,54
17194,408000,34331,54
17195,408000,34331,54
