t,clock,temp,cap
21939,600000,36877,38
21941,600000,36676,38
21943,600000,37078,38
21945,600000,37011,38
21947,600000,36743,38
21949,600000,36609,38
21951,600000,37011,38
21953,600000,36944,38
21955,600000,36944,38
21957,600000,37346,38
21959,600000,36877,38
21962,600000,37011,38
21964,600000,36810,38
21966,600000,37212,38
21968,600000,36676,38
21970,600000,37011,38
21972,600000,37078,38
21974,600000,37078,38
21976,600000,37279,38
21978,600000,37011,38
21980,600000,37078,38
21982,600000,36944,38
21985,600000,37011,38
21987,600000,37011,38
21989,600000,36877,38
21991,600000,36810,38
21993,600000,36810,38
21995,600000,36676,38
21997,600000,36944,38
21999,600000,36944,38
22001,600000,36676,38
22003,600000,36877,38
22005,600000,36944,38
22008,600000,37078,38
22010,600000,36743,38
22012,600000,37547,38
22014,600000,37212,38
22016,600000,36676,38
22018,600000,36877,38
22020,600000,37212,38
22022,600000,37815,38
22024,600000,37279,38
22026,600000,37145,38
22028,600000,36743,38
22031,600000,36877,38
22033,600000,36877,38
22035,600000,37078,38
22037,600000,36944,38
22039,600000,37145,38
22041,600000,36877,38
22043,600000,37212,38
22045,600000,37145,38
22047,600000,37346,38
22049,600000,37078,38
22051,600000,37145,38
22054,600000,36877,38
22056,600000,36877,38
22058,600000,37614,38
22060,600000,37078,38
22062,600000,37011,37
22064,600000,36743,37
22066,600000,37011,37
22068,600000,36810,37
22070,600000,37078,37
22072,600000,37078,37
22074,600000,37078,37
22077,600000,36810,37
22079,600000,37011,37
22081,600000,37212,37
22083,600000,37145,37
22085,600000,37145,37
22087,600000,37212,37
22089,600000,37279,37
22091,600000,37011,37
22093,600000,37279,37
22095,600000,37279,37
22098,600000,37413,37
22100,600000,37413,37
22102,600000,37145,37
22104,600000,36810,37
22106,600000,37279,37
22108,600000,36944,37
22110,600000,37212,37
22112,600000,37480,37
22114,600000,37346,37
22116,600000,37212,37
22118,600000,36944,37
22121,600000,37681,37
22123,600000,37346,37
22125,600000,37681,37
22127,600000,36944,37
22129,600000,37949,37
22131,600000,37547,37
22133,600000,37279,37
22135,600000,37413,37
22137,600000,37145,37
22139,600000,37279,37
22141,600000,37346,37
22144,600000,37614,37
22146,600000,37011,37
22148,600000,37078,37
22150,600000,36810,37
22152,600000,37011,37
22154,600000,37212,37
22156,600000,37212,37
22158,600000,36877,37
22160,600000,36944,37
22162,600000,37346,37
22164,600000,37145,37
22167,600000,37547,37
22169,600000,37346,37
22171,600000,37681,37
22173,600000,37279,37
22175,408000,36944,37
22177,600000,37547,37
22179,600000,36475,37
22181,600000,37480,37
22183,408000,37413,37
22185,600000,37279,37
22187,600000,36609,37
22190,600000,37212,37
22192,600000,37078,37
22194,600000,37145,37
22196,600000,37212,37
22198,600000,37011,37
22200,600000,37078,37
22202,600000,36676,37
22204,600000,37212,37
22206,600000,37078,37
22208,600000,37212,37
22210,600000,37145,37
22213,600000,37346,37
22215,600000,37949,37
22217,600000,37212,37
22219,600000,37346,37
22221,600000,37346,37
22223,600000,37279,37
22225,600000,36944,37
22227,600000,37078,37
22229,600000,36810,37
22231,600000,37145,37
22233,600000,37145,37
22236,600000,37413,37
22238,600000,37212,37
22240,600000,37078,37
22242,600000,37078,37
22244,600000,37614,37
22246,600000,37145,37
22248,600000,37480,37
22250,600000,37212,37
22252,600000,37681,37
22254,600000,36944,37
22257,600000,37212,37
22259,600000,36877,37
22261,600000,37480,37
22263,600000,37681,37
22265,600000,37480,37
22267,600000,37279,37
22269,600000,36676,37
22271,600000,37078,37
22273,600000,37011,37
22275,600000,37011,37
22277,600000,37413,37
22280,600000,37145,37
22282,600000,37011,37
22284,600000,37212,37
22286,600000,37614,36
22288,600000,36810,36
22290,600000,37279,36
22292,600000,37346,36
22294,600000,37078,36
22296,600000,37681,36
22298,600000,37011,36
22300,600000,37011,36
22303,600000,37212,36
22305,600000,37078,36
22307,600000,37346,36
22309,600000,37480,36
22311,600000,37279,36
22313,600000,36877,36
22315,600000,37145,36
22317,600000,37145,36
22319,600000,37279,36
22321,600000,37547,36
22323,600000,37212,36
22326,600000,37480,36
22328,600000,37212,36
22330,600000,37614,36
22332,600000,37413,36
22334,408000,37413,36
22336,600000,37279,36
22338,600000,36877,36
22340,600000,37212,36
22342,600000,37078,36
22344,600000,36944,36
22346,600000,37011,36
22349,600000,37480,36
22351,600000,37011,36
22353,408000,37480,36
22355,600000,37011,36
22357,600000,36810,36
22359,600000,37145,36
22361,600000,37413,36
22363,600000,37212,36
22365,600000,36877,36
22367,600000,37547,36
22369,600000,37346,36
22372,600000,37480,36
22374,600000,37279,36
22376,600000,37480,36
22378,600000,37078,36
22380,600000,37614,36
22382,600000,37614,36
22384,600000,37346,36
22386,600000,37413,36
22388,600000,36944,36
22390,600000,37681,36
22392,408000,37145,36
22395,600000,37011,36
22397,600000,37011,36
22399,600000,37212,36
22401,600000,37882,36
22403,600000,37413,36
22405,600000,37413,36
22407,600000,37145,36
22409,600000,37413,36
22411,600000,37212,36
22413,600000,37279,36
22415,600000,37212,36
RESULT armA: cc_delta=60 window_s=480 volt_end=3555000
