t,clock,temp,cap
22529,600000,37614,35
22532,600000,37480,35
22534,600000,37145,35
22536,600000,37681,35
22538,600000,37212,35
22540,600000,37212,35
22542,600000,37547,35
22544,600000,37614,35
22546,600000,37346,35
22548,600000,37547,35
22550,600000,37547,35
22552,600000,37212,35
22555,600000,37480,35
22557,600000,37480,35
22559,600000,37614,35
22561,600000,37614,35
22563,600000,37480,35
22565,600000,37212,35
22567,600000,37547,35
22569,600000,37614,35
22571,600000,37346,35
22573,600000,37279,35
22576,600000,37480,35
22578,600000,37279,35
22580,600000,37547,35
22582,600000,37480,35
22584,600000,37681,35
22586,600000,37681,35
22588,600000,37346,35
22590,600000,37279,35
22592,600000,37547,35
22594,600000,37681,35
22596,600000,37279,35
22599,600000,37681,35
22601,600000,37748,35
22603,600000,37346,35
22605,600000,37480,35
22607,600000,37748,35
22609,600000,37346,35
22611,600000,37145,35
22613,600000,37681,35
22615,600000,37078,35
22617,600000,37279,35
22620,600000,37413,35
22622,600000,37346,35
22624,600000,37547,35
22626,600000,37949,35
22628,600000,37614,35
22630,600000,37145,35
22632,600000,37681,35
22634,600000,37681,35
22636,600000,37681,35
22638,600000,37279,35
22640,600000,37279,35
22643,600000,37212,35
22645,600000,37078,35
22647,600000,37212,35
22649,600000,37681,35
22651,600000,37480,35
22653,408000,37480,35
22655,600000,37078,35
22657,600000,37614,35
22659,600000,37480,35
22661,600000,37413,35
22664,600000,37681,35
22666,600000,37681,35
22668,600000,37614,35
22670,600000,37949,35
22672,600000,37011,35
22674,600000,37882,35
22676,600000,37480,35
22678,600000,37882,35
22680,600000,37614,35
22682,600000,37480,35
22684,600000,37480,35
22687,600000,37145,35
22689,600000,37279,35
22691,600000,37279,35
22693,600000,37346,35
22695,600000,37614,35
22697,600000,37145,35
22699,600000,37078,35
22701,600000,37681,35
22703,600000,37547,35
22705,600000,37212,35
22707,600000,37681,35
22710,600000,37212,35
22712,600000,37413,35
22714,600000,37815,35
22716,600000,37882,35
22718,600000,37614,35
22720,600000,37614,35
22722,600000,37480,35
22724,600000,37547,35
22726,600000,37212,35
22728,600000,37614,34
22731,600000,37480,34
22733,600000,37212,34
22735,600000,37212,34
22737,600000,37011,34
22739,600000,37078,34
22741,600000,37413,34
22743,600000,37212,34
22745,600000,37547,34
22747,600000,37614,34
22749,600000,37279,34
22751,600000,37748,34
22754,600000,37748,34
22756,600000,37681,34
22758,600000,37346,34
22760,600000,37547,34
22762,600000,37614,34
22764,600000,37346,34
22766,600000,37346,34
22768,600000,36877,34
22770,408000,37413,34
22772,600000,37480,34
22775,600000,37078,34
22777,600000,37078,34
22779,600000,37413,34
22781,600000,37346,34
22783,600000,37681,34
22785,600000,37212,34
22787,600000,37480,34
22789,600000,37346,34
22791,600000,37949,34
22793,600000,37413,34
22795,600000,37547,34
22798,600000,37413,34
22800,600000,37480,34
22802,600000,37614,34
22804,600000,37279,34
22806,600000,36743,34
22808,600000,37480,34
22810,600000,37145,34
22812,600000,37011,34
22814,600000,37145,34
22816,600000,36743,34
22819,600000,37145,34
22821,600000,37279,34
22823,600000,38016,34
22825,600000,37346,34
22827,600000,37681,34
22829,600000,37346,34
22831,600000,37547,34
22833,600000,37815,34
22835,600000,37614,34
22837,600000,37748,34
22839,600000,37480,34
22842,600000,37882,34
22844,600000,37212,34
22846,600000,37279,34
22848,600000,37882,34
22850,600000,37748,34
22852,600000,37480,34
22854,600000,37815,34
22856,600000,37413,34
22858,600000,37547,34
22860,600000,37413,34
22862,600000,37480,34
22865,600000,37748,34
22867,600000,37614,34
22869,600000,37413,34
22871,600000,37212,34
22873,600000,37279,34
22875,600000,37614,34
22877,600000,37212,34
22879,600000,37279,34
22881,600000,37480,34
22883,600000,37480,34
22886,600000,37279,34
22888,600000,37547,34
22890,600000,37212,34
22892,600000,37547,34
22894,600000,37480,34
22896,600000,37614,34
22898,600000,37413,34
22900,600000,37949,34
22902,600000,37279,34
22904,600000,37078,34
22906,600000,37078,34
22909,600000,37279,34
22911,600000,36810,34
22913,600000,36810,34
22915,600000,37011,34
22917,600000,37011,34
22919,600000,37145,34
22921,600000,36609,34
22923,600000,37413,34
22925,600000,36877,34
22927,600000,37078,34
22929,600000,37279,34
22932,600000,36944,34
22934,600000,37011,34
22936,600000,37212,34
22938,600000,37078,34
22940,600000,36743,34
22942,600000,36877,34
22944,600000,37078,33
22946,600000,36877,33
22948,600000,36877,33
22950,600000,37212,33
22952,600000,37212,33
22955,600000,37078,33
22957,600000,37480,33
22959,600000,37145,33
22961,600000,37145,33
22963,600000,37480,33
22965,600000,37614,33
22967,600000,37547,33
22969,600000,37547,33
22971,600000,37547,33
22973,600000,37346,33
22976,600000,37212,33
22978,600000,37346,33
22980,600000,37748,33
22982,600000,37614,33
22984,600000,37413,33
22986,600000,37480,33
22988,600000,37145,33
22990,600000,37279,33
22992,600000,36877,33
22994,600000,37815,33
22996,600000,37212,33
22999,600000,36877,33
23001,600000,37145,33
23003,600000,37011,33
23005,600000,37078,33
23007,600000,36743,33
RESULT armB: cc_delta=60 window_s=480 volt_end=3529000
