t,clock,temp,cap
20450,1416000,38686,54
20452,1800000,38686,54
20454,1416000,39021,54
20456,1416000,38351,54
20458,1416000,38954,54
20460,1416000,38686,54
20462,1416000,38552,54
20464,1416000,39088,54
20466,1416000,38485,54
20468,1416000,38820,54
20470,1416000,38686,54
20472,1800000,39088,54
20474,1416000,38753,54
20476,1416000,38753,54
20478,1608000,39021,54
20480,1416000,38887,54
20482,1416000,37681,54
20485,1416000,38887,54
20487,1608000,41634,54
20489,1608000,40227,54
20491,1416000,40361,54
20493,1608000,40428,54
20495,1608000,40763,54
20497,1800000,41098,54
20499,1416000,40562,54
20501,1416000,40629,54
20503,1608000,40629,54
20505,1608000,40495,54
20507,1800000,40763,54
20509,1416000,40830,54
20511,1800000,40897,54
20513,1416000,40696,54
20515,1608000,40093,54
20517,1416000,40562,54
20520,1416000,40294,54
20522,1416000,40026,54
20524,1416000,40428,54
20526,1416000,39423,54
20528,1608000,39825,54
20530,1416000,40093,54
20532,1416000,40227,54
20534,1416000,39490,54
20536,1608000,39758,54
20538,1608000,40026,54
20540,1416000,39825,54
20542,1800000,40227,53
20544,1416000,40495,53
20546,1416000,40428,53
20548,1800000,41098,53
20550,1416000,41098,53
20552,1608000,40830,53
20554,1416000,41299,53
20556,1416000,41567,53
20559,1416000,41768,53
20561,1416000,41299,53
20563,1416000,40964,53
20565,1608000,41634,53
20567,1416000,41232,53
20569,1608000,41701,53
20571,1416000,41165,53
20573,1416000,39691,53
20575,1416000,40093,53
20577,1416000,40093,53
20579,1416000,40361,53
20581,1416000,40495,53
20583,1416000,40562,53
20585,1416000,40026,53
20587,1608000,40227,53
20589,1416000,39825,53
20591,1416000,40227,53
20593,1416000,40093,53
20595,1416000,39959,53
20598,1416000,40026,53
20600,1416000,39758,53
20602,1416000,39892,53
20604,1416000,39892,53
20606,1416000,39959,53
20608,1800000,40093,53
20610,1416000,39959,53
20612,1416000,39691,53
20614,1416000,40294,53
20616,1416000,39959,53
20618,1416000,39892,53
20620,1416000,40227,53
20622,1416000,40026,53
20624,1416000,39892,53
20626,1416000,39959,53
20628,1416000,39892,53
20630,1416000,40026,53
20632,1416000,40227,53
20634,1416000,39959,53
20636,1416000,39758,53
20638,1416000,39959,53
20641,1416000,40361,53
20643,1416000,39892,53
20645,1416000,39825,53
20647,1416000,40093,53
20649,1416000,38686,53
20651,1608000,40160,53
20653,1416000,40830,53
20655,1416000,40897,53
20657,1608000,40897,53
20659,1608000,41165,53
20661,1608000,42505,53
20663,1416000,41232,53
20665,1416000,40964,53
20667,1608000,40964,53
20669,1608000,42036,53
20671,1416000,41768,53
20673,1416000,41433,53
20676,1608000,42237,53
20678,1608000,41701,53
20680,1416000,42773,53
20682,1416000,41835,53
20684,1416000,41567,53
20686,1608000,40830,53
20688,1416000,40964,53
20690,1416000,40964,53
20692,1416000,40629,53
20694,1608000,40495,53
20696,1416000,40495,53
20698,1416000,40897,53
20700,1416000,40294,53
20702,1416000,40696,53
20704,1416000,40629,53
20706,1416000,40495,53
20708,1416000,40763,53
20710,1608000,41634,53
20712,1416000,42505,53
20714,1416000,41835,53
20717,1608000,42103,53
20719,1608000,41701,53
20721,1608000,41902,53
20723,1416000,42170,53
20725,1608000,42974,53
20727,1608000,42304,53
20729,1608000,41634,53
20731,1608000,42773,53
20733,1608000,43108,53
20735,1416000,42907,53
20737,1416000,40160,53
20739,1416000,41165,53
20741,1416000,40428,53
20743,1416000,40830,53
20745,1416000,40763,53
20747,1416000,41433,53
20749,1416000,40763,53
20751,1416000,40629,53
20754,1416000,40964,53
20756,1416000,40897,53
20758,1416000,40964,53
20760,1416000,40562,53
20762,1416000,40763,53
20764,1416000,40830,53
20766,1416000,40830,53
20768,1416000,40629,53
20770,1608000,40897,53
20772,1416000,41031,53
20774,1416000,40763,53
20776,1416000,40629,53
20778,1416000,40428,53
20780,1416000,40763,53
20782,1416000,40629,53
20784,1416000,40495,53
20786,1416000,40629,53
20788,1416000,40562,53
20790,1416000,40629,53
20792,1416000,40763,53
20794,1416000,40629,53
20797,1416000,40562,53
20799,1416000,40428,53
20801,1416000,40696,53
20803,1800000,40361,53
20805,1416000,40160,53
20807,1416000,40696,53
20809,1608000,40361,53
20811,1416000,40495,53
20813,1416000,39423,53
20815,1416000,40629,53
20817,1800000,41567,53
20819,1608000,41567,53
20821,1800000,41299,53
20823,1608000,41634,53
20825,1608000,42974,53
20827,1416000,42036,53
20829,1416000,42170,53
20831,1608000,42036,53
20833,1608000,42237,53
20836,1608000,42371,53
20838,1416000,41500,53
20840,1416000,41835,53
20842,1416000,43309,53
20844,1416000,43912,53
20846,1416000,42505,53
20848,1416000,42907,53
20850,1608000,40897,53
20852,1416000,41031,53
20854,1416000,41165,53
20856,1416000,41031,53
20858,1416000,40830,53
20860,1416000,41299,53
20862,1416000,41165,53
20864,1608000,41433,53
20866,1416000,41969,53
20868,1608000,42170,53
20870,1416000,42438,53
20872,1416000,42036,53
20875,1416000,42840,53
20877,1416000,42572,53
20879,1416000,42639,53
20881,1416000,42237,53
20883,1608000,42304,53
20885,1608000,43242,53
20887,1416000,42639,53
20889,1608000,43041,53
20891,1608000,42371,53
20893,1608000,42974,53
20895,1800000,40696,52
20897,1416000,41232,52
20899,1416000,41567,52
20901,1416000,41366,52
20903,1416000,41366,52
20905,1608000,41299,52
20907,1416000,41165,52
20909,1608000,41098,52
20912,1416000,41433,52
20914,1416000,41165,52
20916,1608000,40964,52
20918,1416000,41031,52
20920,1416000,41165,52
20922,1416000,41232,52
20924,1416000,41098,52
20926,1416000,41768,52
20928,1416000,41232,52
RESULT armA: cc_delta=100 window_s=480 volt_end=3663000
