t,clock,temp,cap
21306,1416000,40361,52
21308,1416000,39825,52
21310,1608000,40227,52
21312,1416000,39892,52
21314,1416000,40093,52
21316,1416000,40093,52
21318,1608000,39691,52
21320,1416000,39758,52
21322,1200000,39624,52
21324,1008000,39356,52
21326,1008000,39490,52
21329,1008000,39222,52
21331,1008000,39423,52
21333,1008000,39155,52
21335,1008000,39088,52
21337,1008000,39691,52
21339,1008000,38351,52
21341,1008000,39423,52
21343,1008000,40629,52
21345,1008000,40830,52
21347,1008000,41701,52
21349,1008000,41634,52
21351,1008000,42237,52
21353,1008000,41165,52
21355,1008000,41232,52
21357,1008000,41567,52
21360,1008000,41902,51
21362,1008000,42036,51
21364,1008000,40830,51
21366,1008000,40629,51
21368,1008000,40294,51
21370,1416000,40428,51
21372,1416000,40629,51
21374,1608000,40696,51
21376,1416000,40495,51
21378,1416000,40964,51
21380,1416000,40562,51
21382,1416000,40428,51
21384,1608000,40763,51
21386,1608000,40294,51
21388,1608000,40629,51
21390,1608000,40160,51
21392,1608000,41567,51
21394,1608000,43175,51
21396,1608000,43443,51
21399,1608000,43577,51
21401,1416000,43510,51
21403,1608000,43979,51
21405,1608000,44180,51
21407,1608000,44448,51
21409,1608000,44247,51
21411,1608000,44582,51
21413,1608000,41165,51
21415,1416000,41165,51
21417,1416000,40830,51
21419,1416000,41098,51
21421,1416000,40897,51
21423,1416000,40629,51
21425,1416000,41433,51
21427,1416000,40361,51
21429,1416000,40897,51
21431,1416000,41031,51
21433,1008000,40629,51
21436,1008000,39758,51
21438,1008000,39691,51
21440,1008000,39892,51
21442,1008000,40026,51
21444,1008000,40093,51
21446,1008000,40026,51
21448,1008000,40629,51
21450,1008000,39557,51
21452,1008000,39959,51
21454,1008000,39959,51
21456,1008000,39758,51
21458,1008000,39758,51
21460,1008000,39758,51
21462,1008000,40093,51
21464,1008000,39423,51
21466,1008000,39959,51
21468,1008000,40160,51
21471,1008000,40227,51
21473,1008000,39490,51
21475,1008000,39356,51
21477,1008000,39691,51
21479,1008000,39557,51
21481,1008000,39825,51
21483,1008000,39959,51
21485,1008000,40093,51
21487,1008000,39758,51
21489,1008000,39088,51
21491,1008000,38753,51
21493,1008000,40160,51
21495,1008000,41232,51
21497,1008000,42438,51
21499,1008000,42036,51
21502,1008000,42371,51
21504,1008000,41902,51
21506,1008000,42572,51
21508,1008000,42572,51
21510,1008000,42103,51
21512,1008000,42639,51
21514,1008000,41299,51
21516,1008000,41165,51
21518,1416000,40897,51
21520,1416000,41366,51
21522,1416000,41098,51
21524,1608000,40696,51
21526,1416000,41567,51
21528,1416000,41031,51
21530,1416000,41299,51
21532,1416000,40897,51
21534,1608000,41299,51
21537,1608000,40964,51
21539,1416000,40964,51
21541,1416000,41500,51
21543,1608000,43644,51
21545,1608000,43778,51
21547,1608000,43979,51
21549,1416000,44381,51
21551,1608000,44247,51
21553,1608000,44448,51
21555,1608000,44582,51
21557,1608000,44850,51
21559,1608000,44515,51
21561,1416000,43644,51
21563,1416000,41299,51
21565,1416000,41634,51
21567,1608000,41768,51
21569,1416000,41098,51
21571,1416000,41500,51
21574,1608000,40830,51
21576,1416000,41500,51
21578,1416000,41232,51
21580,1416000,40830,51
21582,1416000,41165,51
21584,1008000,41165,51
21586,1008000,40696,51
21588,1008000,40629,51
21590,1008000,40830,51
21592,1008000,40428,51
21594,1008000,40763,51
21596,1008000,40160,51
21598,1008000,40294,51
21600,1008000,40696,51
21602,1008000,40026,51
21604,1008000,40294,51
21606,1008000,40160,51
21608,1008000,40361,51
21611,1008000,39825,51
21613,1008000,40830,51
21615,1008000,40294,51
21617,1008000,40026,51
21619,1008000,40227,51
21621,1008000,40495,51
21623,1008000,40227,51
21625,1008000,39959,51
21627,1008000,40160,51
21629,1008000,40026,51
21631,1008000,40160,51
21633,1008000,39825,51
21635,1008000,39758,51
21637,1008000,39825,51
21639,1008000,39289,51
21641,1008000,40562,51
21643,1008000,41433,51
21646,1008000,42103,51
21648,1008000,42572,51
21650,1008000,43108,51
21652,1008000,42639,51
21654,1008000,42907,51
21656,1008000,42639,51
21658,1008000,42706,51
21660,1008000,43108,51
21662,1008000,41701,51
21664,1008000,41500,51
21666,1008000,41634,51
21668,1008000,40830,51
21670,1008000,40428,51
21672,1008000,40897,51
21675,1008000,40696,51
21677,1008000,40361,51
21679,1008000,40696,51
21681,1008000,40763,51
21683,1008000,41634,51
21685,1008000,42036,51
21687,1008000,42840,51
21689,1008000,43041,51
21691,1008000,43242,51
21693,1008000,43041,51
21695,1008000,43175,51
21697,1008000,43309,51
21699,816000,43309,51
21701,1008000,43845,51
21704,1008000,40696,51
21706,1008000,41366,51
21708,1008000,41031,51
21710,1008000,41165,51
21712,1008000,41165,51
21714,1008000,40428,51
21716,1008000,40763,51
21718,1008000,40361,51
21720,1008000,40696,51
21722,1008000,40495,51
21724,1008000,40696,50
21726,1008000,40629,50
21728,1008000,40562,50
21730,1008000,40495,50
21732,1008000,40763,50
21734,1008000,40227,50
21736,1008000,40629,50
21739,1008000,40964,50
21741,1008000,40629,50
21743,1008000,40361,50
21745,1008000,40495,50
21747,1008000,40897,50
21749,1008000,40562,50
21751,1008000,40897,50
21753,1008000,40495,50
21755,1008000,40629,50
21757,1008000,40696,50
21759,1008000,40361,50
21761,1008000,40562,50
21763,1008000,40227,50
21765,1008000,40629,50
21767,1008000,40294,50
21769,1008000,40629,50
21772,1008000,40294,50
21774,1008000,40495,50
21776,1008000,40562,50
21778,1008000,40160,50
21780,1008000,39959,50
21782,1008000,40763,50
21784,1008000,42170,50
RESULT armB: cc_delta=100 window_s=480 volt_end=3637000
