t,clock,temp,cap
11234,1008000,33192,73
11237,1008000,33460,73
11239,1008000,33058,73
11241,1008000,33259,73
11243,1008000,33326,73
11245,1008000,33795,73
11247,1008000,33192,73
11249,1008000,33058,73
11251,1008000,32991,73
11253,1008000,33326,73
11255,1008000,34331,73
11257,1008000,33058,73
11259,1008000,33661,73
11261,1008000,33393,73
11263,1008000,33527,73
11265,1008000,32924,73
11267,1008000,33594,73
11269,1008000,33594,73
11272,1008000,33259,73
11274,1008000,32790,73
11276,1008000,32656,73
11278,1008000,32924,73
11280,1008000,32991,73
11282,1008000,34264,73
11284,1008000,34331,73
11286,1008000,34063,73
11288,1008000,34733,73
11290,1008000,34130,73
11292,1008000,34398,73
11294,1008000,34532,73
11296,1008000,34331,73
11298,1008000,34666,73
11300,1008000,34264,73
11302,1008000,35001,73
11305,1008000,34599,73
11307,1008000,34398,73
11309,1008000,34532,73
11311,1008000,33929,73
11313,1008000,35269,73
11315,1008000,35872,73
11317,1008000,35738,73
11319,1008000,36274,73
11321,1008000,35872,73
11323,1008000,35805,73
11325,1416000,35470,73
11327,1416000,35202,73
11329,1416000,35336,73
11331,1416000,35470,73
11333,1416000,35202,73
11335,1416000,34867,73
11337,1200000,35269,73
11340,1416000,35470,73
11342,1416000,34934,73
11344,1416000,35202,73
11346,1416000,35336,73
11348,1416000,35269,73
11350,1416000,35537,73
11352,1416000,35269,73
11354,1416000,35336,73
11356,1416000,35403,73
11358,1416000,33996,73
11360,1416000,33996,73
11362,1416000,34867,73
11364,1416000,34867,73
11366,1416000,34934,73
11368,1416000,34800,73
11370,1416000,35202,73
11372,1416000,35269,73
11374,1416000,35135,73
11376,1416000,35135,73
11379,1416000,35537,73
11381,1416000,35135,73
11383,1416000,35336,72
11385,1416000,35470,72
11387,1416000,35202,72
11389,1416000,35135,72
11391,1416000,35135,72
11393,1416000,35537,72
11395,1008000,36140,72
11397,1008000,36341,72
11399,1008000,36274,72
11401,1008000,36207,72
11403,1008000,35872,72
11405,1008000,34934,72
11407,1008000,35202,72
11409,1008000,35202,72
11411,1008000,34934,72
11414,1008000,35068,72
11416,1008000,35068,72
11418,1008000,34867,72
11420,1008000,34331,72
11422,1008000,35202,72
11424,1008000,35001,72
11426,1008000,34867,72
11428,1008000,35269,72
11430,1008000,34465,72
11432,1008000,34063,72
11434,1008000,34398,72
11436,1008000,35336,72
11438,1008000,34733,72
11440,1008000,34599,72
11442,1008000,34867,72
11444,1008000,34800,72
11446,1008000,34867,72
11449,1008000,35135,72
11451,1008000,35202,72
