t,clock,temp,cap
11805,600000,33393,71
11807,600000,33058,71
11809,600000,33326,71
11812,600000,33259,71
11814,600000,32924,71
11816,600000,32924,71
11818,600000,33460,71
11820,600000,32723,71
11822,600000,32924,71
11824,600000,33125,71
11826,600000,32924,71
11828,600000,32991,71
11830,600000,33058,71
11832,600000,33058,71
11834,600000,32857,71
11837,600000,33393,71
11839,600000,32857,71
11841,600000,33192,71
11843,600000,33125,71
11845,600000,32589,71
11847,600000,32924,71
11849,600000,32924,71
11851,600000,33058,71
11853,600000,32991,71
11855,600000,32857,71
11857,600000,33058,71
11859,600000,32924,71
11862,600000,32790,71
11864,600000,32991,71
11866,600000,33326,71
11868,600000,32991,71
11870,600000,32924,71
11872,600000,32991,71
11874,600000,32924,71
11876,600000,32857,71
11878,600000,32790,71
11880,600000,32790,71
11882,600000,33259,71
11884,600000,32857,71
11887,600000,32857,71
11889,600000,32991,71
11891,600000,32589,71
11893,600000,32857,71
11895,600000,32790,71
11897,600000,32790,71
11899,600000,32991,71
11901,600000,32790,71
11903,600000,32924,71
11905,600000,32857,71
11907,600000,32723,71
11909,600000,33125,71
11912,600000,32723,71
11914,600000,33125,71
11916,600000,32656,71
11918,600000,32924,71
11920,600000,32589,71
11922,600000,32723,71
11924,600000,32857,71
11926,600000,32857,71
11928,600000,32589,71
11930,600000,32388,71
11932,600000,32656,71
11934,600000,33058,71
11937,600000,32857,71
11939,600000,32857,71
11941,600000,32723,71
11943,600000,32723,71
11945,600000,32589,71
11947,600000,32857,71
11949,600000,32589,71
11951,600000,32857,71
11953,600000,33125,71
11955,600000,33058,71
11957,600000,32723,71
11959,600000,32723,71
11962,600000,32723,71
11964,600000,32723,71
11966,600000,32723,71
11968,600000,32723,71
11970,600000,32857,71
11972,600000,32656,71
11974,600000,32723,71
11976,600000,32723,71
11978,600000,32857,71
11980,600000,32857,71
11982,600000,32522,71
11984,600000,32790,71
11987,600000,32991,71
11989,600000,32790,71
11991,600000,32857,71
11993,600000,32790,71
11995,600000,32857,71
11997,600000,32589,71
11999,600000,32589,71
12001,600000,32522,71
12003,600000,32723,71
12005,600000,32656,71
12007,600000,32924,71
12009,600000,32321,71
12012,600000,32589,71
12014,600000,32723,71
12016,600000,32924,71
12018,600000,32790,71
12020,600000,32254,71
12022,600000,32589,71
12024,600000,32455,71
12026,600000,32522,71
12028,600000,32857,71
12030,600000,32723,71
12032,600000,32388,71
12034,600000,32857,71
12037,600000,32589,71
12039,600000,32857,71
12041,600000,32790,71
12043,600000,32656,71
12045,600000,32455,71
12047,600000,32790,71
12049,600000,32656,71
12051,600000,32991,71
12053,600000,32723,71
12055,600000,32656,71
12057,600000,32455,71
12059,600000,32656,71
12062,600000,32455,71
12064,600000,32790,71
12066,600000,32656,71
12068,600000,32924,71
12070,600000,32656,71
12072,600000,32656,71
12074,600000,32589,71
12076,600000,32656,71
12078,600000,32589,71
12080,600000,32723,71
12082,600000,33058,71
12084,600000,32589,71
12087,600000,32589,71
12089,600000,32790,71
12091,600000,32388,71
12093,600000,32053,71
12095,600000,32455,71
12097,600000,32388,71
12099,600000,32857,71
12101,600000,32321,71
12103,600000,32455,71
12105,600000,32589,71
12107,600000,32924,71
12109,600000,32522,71
12112,600000,32522,71
12114,600000,32455,71
12116,600000,32723,71
12118,600000,32388,71
12120,600000,32455,71
12122,600000,32455,71
12124,600000,32589,71
12126,600000,32053,71
12128,600000,32388,71
12130,600000,32254,70
12132,600000,32656,70
12134,600000,32321,70
12137,600000,32924,70
12139,600000,32656,70
12141,600000,32522,70
12143,600000,32656,70
12145,600000,32254,70
12147,600000,32589,70
12149,600000,32522,70
12151,600000,32589,70
12153,600000,32790,70
12155,600000,32522,70
12157,600000,32187,70
12159,600000,32656,70
12162,600000,32388,70
12164,600000,32455,70
12166,600000,32522,70
12168,600000,32857,70
12170,600000,32388,70
12172,600000,32790,70
12174,600000,32656,70
12176,600000,32388,70
12178,600000,32589,70
12180,600000,32321,70
12182,600000,32321,70
12184,600000,32321,70
12187,600000,32455,70
12189,600000,32522,70
12191,600000,32656,70
12193,600000,32388,70
12195,600000,32723,70
12197,600000,32120,70
12199,600000,32589,70
12201,600000,32120,70
12203,600000,32455,70
12205,600000,32589,70
12207,600000,32656,70
12209,600000,32656,70
12212,600000,32254,70
12214,600000,32120,70
12216,600000,32455,70
12218,600000,32388,70
12220,600000,32321,70
12222,600000,32522,70
12224,600000,32321,70
12226,600000,32589,70
12228,600000,32321,70
12230,600000,32522,70
12232,600000,32388,70
12234,600000,32589,70
12237,600000,32321,70
12239,600000,32321,70
12241,600000,32656,70
12243,600000,32388,70
12245,600000,32321,70
12247,600000,32522,70
12249,600000,32522,70
12251,600000,32388,70
12253,600000,32388,70
12255,600000,32254,70
12257,600000,32656,70
12259,600000,32455,70
12262,600000,32120,70
12264,600000,32187,70
12266,600000,32656,70
12268,600000,32321,70
12270,600000,32388,70
12272,600000,32723,70
12274,600000,32388,70
12276,600000,32455,70
12278,600000,32187,70
12280,600000,32388,70
12282,600000,32656,70
12284,600000,32522,70
RESULT armB: cc_delta=30 window_s=482 volt_end=3795000
