t,clock,temp,cap
10074,600000,35336,16
10076,600000,35135,16
10078,600000,35068,16
10080,600000,35269,16
10082,600000,35068,16
10084,600000,35470,16
10086,600000,35202,16
10088,600000,35001,16
10090,600000,35202,16
10093,600000,35604,16
10095,600000,35470,16
10097,600000,36073,16
10099,600000,35269,16
10101,600000,35872,16
10103,600000,35403,16
10105,600000,35403,16
10107,600000,35470,15
10109,600000,35805,15
10111,600000,35604,15
10113,600000,35269,15
10116,600000,35135,15
10118,600000,35738,15
10120,600000,35738,15
10122,600000,35403,15
10124,600000,35470,15
10126,600000,35470,15
10128,600000,35470,15
10130,600000,35537,15
10132,600000,35202,15
10134,600000,35671,15
10136,600000,35269,15
10139,600000,35537,15
10141,600000,35738,15
10143,600000,35470,15
10145,600000,35604,15
10147,600000,36006,15
10149,600000,35537,15
10151,600000,35470,15
10153,600000,35068,15
10155,600000,35939,15
10157,600000,35537,15
10159,600000,35604,15
10162,600000,35269,15
10164,600000,35537,15
10166,600000,35537,15
10168,600000,35403,15
10170,600000,35738,15
10172,600000,35872,15
10174,600000,35738,15
10176,600000,35403,15
10178,600000,35671,15
10180,600000,35939,15
10182,600000,35202,15
10185,600000,35872,15
10187,600000,36006,15
10189,600000,35805,15
10191,600000,35872,15
10193,600000,35537,15
10195,600000,35738,15
10197,600000,35671,15
10199,600000,35939,15
10201,600000,35537,15
10203,600000,35738,15
10206,600000,35604,15
10208,600000,35470,15
10210,600000,35872,15
10212,600000,35604,15
10214,600000,35604,15
10216,600000,35671,15
10218,600000,35939,15
10220,600000,35671,15
10222,600000,35470,15
10224,600000,35738,15
10226,600000,35872,15
10229,600000,35872,15
10231,600000,35671,15
10233,600000,35939,15
10235,600000,35604,15
10237,600000,36207,15
10239,600000,35805,15
10241,600000,35671,15
10243,600000,35738,15
10245,600000,35671,15
10247,600000,35872,15
10249,600000,35604,15
10252,600000,35872,15
10254,600000,35403,15
10256,600000,35537,15
10258,600000,35537,15
10260,600000,35939,15
10262,600000,35671,15
10264,600000,36006,15
10266,600000,35939,15
10268,600000,35872,14
10270,600000,35872,14
10272,600000,36207,14
10275,600000,36006,14
10277,600000,35671,14
10279,600000,35671,14
10281,600000,35872,14
10283,600000,35671,14
10285,600000,35738,14
10287,600000,35805,14
10289,600000,36006,14
10291,600000,36207,14
10293,600000,36274,14
10295,600000,36207,14
10298,600000,35939,14
10300,600000,35202,14
10302,600000,35939,14
10304,600000,35604,14
10306,600000,36073,14
10308,600000,36006,14
10310,600000,35738,14
10312,600000,36073,14
10314,600000,35336,14
10316,600000,35604,14
10318,600000,35805,14
10321,600000,35805,14
10323,600000,35738,14
10325,600000,36073,14
10327,600000,35805,14
10329,600000,35939,14
10331,600000,35671,14
10333,600000,35939,14
10335,600000,35939,14
10337,600000,35939,14
10339,600000,36006,14
10341,600000,35805,14
10344,600000,36274,14
10346,600000,35671,14
10348,600000,35872,14
10350,600000,35939,14
10352,600000,36140,14
10354,600000,35872,14
10356,600000,36341,14
10358,600000,36542,14
10360,600000,36006,14
10362,600000,36073,14
10364,600000,36006,14
10367,600000,36006,14
10369,600000,36207,14
10371,1200000,36475,14
10373,1200000,36073,14
10375,1200000,36207,14
10377,1200000,36073,14
10379,1200000,36341,14
10381,1200000,36475,14
10383,1008000,36676,14
10385,1200000,36140,14
10387,1200000,36341,14
10389,1200000,36073,14
10391,1200000,36006,14
10393,1200000,36408,14
10395,1200000,37145,14
10397,1200000,36475,14
10399,1416000,36743,14
10402,1416000,36676,14
10404,1200000,36609,14
10406,1416000,37078,14
10408,1416000,36609,14
10410,1416000,37078,14
10412,1416000,36542,14
10414,1416000,36609,14
10416,1416000,36877,14
10418,1416000,36944,14
10420,1416000,36676,14
10422,1416000,36944,14
10424,1416000,37212,14
10426,1416000,36609,14
10428,1416000,36944,14
10430,1416000,36542,14
10432,1416000,36609,13
10434,1416000,37212,13
10436,1416000,36475,13
10438,1416000,36877,13
10440,1416000,37011,13
10442,1416000,37279,13
10445,1416000,36810,13
10447,1416000,37011,13
10449,1416000,36609,13
10451,1416000,37011,13
10453,1416000,37145,13
10455,1416000,36810,13
10457,1416000,36877,13
10459,1416000,36676,13
10461,1200000,37011,13
10463,1008000,36676,13
10465,816000,36810,13
10467,816000,36475,13
10469,600000,35805,13
10471,600000,36207,13
10473,600000,36676,13
10475,600000,36475,13
10478,600000,35939,13
10480,600000,36475,13
10482,600000,36408,13
10484,600000,36274,13
10486,600000,36073,13
10488,600000,35872,13
10490,600000,36073,13
10492,600000,36207,13
10494,600000,36542,13
10496,600000,36341,13
10498,600000,36274,13
10501,600000,36207,13
10503,600000,36475,13
10505,600000,36140,13
10507,600000,36542,13
10509,600000,36274,13
10511,600000,36274,13
10513,600000,36676,13
10515,600000,36274,13
10517,600000,36073,13
10519,600000,35805,13
10522,600000,36542,13
10524,600000,35671,13
10526,600000,36140,13
10528,600000,36475,13
10530,600000,36207,13
10532,600000,36341,13
10534,600000,36006,13
10536,600000,36006,13
10538,600000,36341,13
10540,600000,36408,13
10542,600000,36140,13
10544,600000,36609,13
10547,600000,36475,13
10549,600000,36542,13
10551,600000,36408,13
10553,600000,36609,13
RESULT armA: cc_delta=90 window_s=481 volt_end=3486000
