t,clock,temp,cap
10675,600000,33326,12
10677,600000,32924,12
10679,600000,33192,12
10682,600000,32723,12
10684,600000,33058,12
10686,600000,33192,12
10688,600000,32723,12
10690,600000,32790,12
10692,600000,33125,12
10694,600000,32790,12
10696,600000,33058,12
10698,600000,32589,12
10700,600000,32857,12
10702,600000,32857,12
10704,600000,32991,12
10707,600000,32656,12
10709,600000,32723,12
10711,600000,32991,12
10713,600000,32790,12
10715,600000,32991,12
10717,600000,33058,12
10719,600000,32790,12
10721,600000,32857,12
10723,600000,32656,12
10725,600000,32857,12
10727,600000,32589,12
10729,600000,32790,12
10732,600000,32790,12
10734,600000,32790,12
10736,600000,32455,12
10738,600000,32723,12
10740,600000,32790,12
10742,600000,32857,12
10744,600000,32656,12
10746,600000,32723,12
10748,600000,32857,12
10750,600000,32455,12
10752,600000,32656,12
10754,600000,32656,12
10757,600000,32857,12
10759,600000,32924,12
10761,600000,32656,12
10763,600000,32857,12
10765,600000,32857,12
10767,600000,33058,12
10769,600000,32589,12
10771,600000,32857,12
10773,600000,32723,12
10775,600000,32589,12
10777,600000,32991,12
10779,600000,32790,12
10782,600000,32522,12
10784,600000,32522,12
10786,600000,32589,12
10788,600000,32790,12
10790,600000,32522,12
10792,600000,32522,12
10794,600000,32522,12
10796,600000,32723,12
10798,600000,32723,12
10800,600000,32857,12
10802,600000,32455,12
10804,600000,32857,12
10806,600000,32522,12
10809,600000,32723,12
10811,600000,32723,12
10813,600000,32388,12
10815,600000,32656,12
10817,600000,32656,12
10819,600000,32589,12
10821,600000,32522,12
10823,600000,32388,12
10825,600000,32790,12
10827,600000,32321,12
10829,600000,32455,12
10831,600000,32388,12
10834,600000,32589,12
10836,600000,32723,12
10838,600000,32522,12
10840,600000,32522,12
10842,600000,32656,12
10844,600000,32254,12
10846,600000,32455,12
10848,600000,32522,12
10850,600000,32656,12
10852,600000,32455,12
10854,600000,32790,12
10856,600000,32254,12
10859,600000,32455,12
10861,600000,32656,12
10863,600000,32589,12
10865,600000,32388,12
10867,600000,32187,12
10869,600000,32522,12
10871,600000,32388,12
10873,600000,32187,12
10875,600000,32522,12
10877,600000,32589,12
10879,600000,32187,12
10881,600000,32388,12
10884,600000,32589,12
10886,600000,32321,12
10888,600000,32321,12
10890,600000,32656,12
10892,600000,32656,12
10894,600000,32455,12
10896,600000,32455,12
10898,600000,32254,12
10900,600000,32321,12
10902,600000,32455,12
10904,600000,32455,12
10906,600000,32187,12
10909,600000,32388,12
10911,600000,32656,12
10913,600000,32522,12
10915,600000,31919,12
10917,600000,32388,12
10919,600000,32388,12
10921,600000,32522,11
10923,600000,32656,11
10925,600000,32187,11
10927,600000,32187,11
10929,600000,32589,11
10931,600000,32388,11
10934,600000,32254,11
10936,600000,32254,11
10938,600000,32321,11
10940,600000,32455,11
10942,600000,32522,11
10944,600000,32254,11
10946,600000,32455,11
10948,600000,32522,11
10950,600000,32522,11
10952,600000,32120,11
10954,600000,32388,11
10956,600000,32388,11
10959,600000,32455,11
10961,600000,32321,11
10963,600000,32120,11
10965,600000,31919,11
10967,600000,32321,11
10969,600000,32187,11
10971,600000,32254,11
10973,600000,32455,11
10975,600000,32455,11
10977,600000,31986,11
10979,600000,32321,11
10981,600000,32120,11
10984,600000,32589,11
10986,600000,32455,11
10988,600000,32321,11
10990,600000,32455,11
10992,600000,32455,11
10994,600000,32321,11
10996,600000,32388,11
10998,600000,32388,11
11000,600000,32187,11
11002,600000,32589,11
11004,600000,32321,11
11006,600000,32120,11
11009,600000,32321,11
11011,600000,32053,11
11013,600000,32321,11
11015,600000,32321,11
11017,600000,32187,11
11019,600000,32187,11
11021,600000,32388,11
11023,600000,32187,11
11025,600000,31785,11
11027,600000,32589,11
11029,600000,32187,11
11031,600000,32388,11
11034,600000,32790,11
11036,600000,32321,11
11038,600000,32120,11
11040,600000,32388,11
11042,600000,32321,11
11044,600000,32053,11
11046,600000,32388,11
11048,600000,32053,11
11050,600000,32120,11
11052,600000,32455,11
11054,600000,31852,11
11056,600000,32254,11
11059,600000,32321,11
11061,600000,32120,11
11063,600000,32522,11
11065,600000,32187,11
11067,600000,32522,11
11069,600000,32120,11
11071,600000,32723,11
11073,600000,32321,11
11075,600000,32455,11
11077,600000,32254,11
11079,600000,31986,11
11081,600000,31919,11
11083,600000,32455,11
11086,600000,32455,11
11088,600000,31986,11
11090,600000,32254,11
11092,600000,31986,11
11094,600000,32254,11
11096,600000,32589,11
11098,600000,31986,11
11100,600000,32321,11
11102,600000,32187,11
11104,600000,31986,11
11106,600000,32053,11
11108,600000,32589,11
11111,600000,32053,11
11113,600000,32321,11
11115,600000,32187,11
11117,600000,32187,11
11119,600000,32522,11
11121,600000,32187,11
11123,600000,31919,11
11125,600000,32321,11
11127,600000,32656,11
11129,600000,32254,11
11131,600000,31651,11
11133,600000,32388,11
11136,600000,32254,11
11138,600000,32187,11
11140,600000,32254,11
11142,600000,32120,11
11144,600000,31919,11
11146,600000,32455,11
11148,600000,32589,11
11150,600000,32254,11
11152,600000,32455,11
11154,600000,32187,11
RESULT armB: cc_delta=30 window_s=481 volt_end=3493000
