t,clock,temp,cap
16215,600000,37815,63
16217,600000,37212,63
16219,600000,37413,63
16221,600000,37480,63
16223,600000,37078,63
16225,600000,37614,63
16227,600000,37480,63
16229,600000,37815,63
16231,600000,37145,63
16234,600000,37614,63
16236,600000,37547,63
16238,600000,37681,63
16240,600000,37882,63
16242,600000,37212,63
16244,600000,37949,63
16246,600000,37279,63
16248,600000,37815,63
16250,600000,37279,63
16252,600000,37480,63
16254,600000,37547,63
16257,600000,37614,63
16259,600000,37815,63
16261,600000,37547,63
16263,600000,38217,63
16265,600000,37748,63
16267,600000,38217,63
16269,600000,37748,63
16271,600000,38351,63
16273,600000,37413,62
16275,600000,37614,62
16277,600000,38150,62
16280,600000,37413,62
16282,600000,37681,62
16284,600000,37748,62
16286,600000,37882,62
16288,600000,37480,62
16290,600000,37882,62
16292,600000,37815,62
16294,600000,37882,62
16296,600000,38083,62
16298,600000,37882,62
16300,600000,38083,62
16303,600000,37882,62
16305,600000,37815,62
16307,600000,37547,62
16309,600000,37815,62
16311,600000,38150,62
16313,600000,37614,62
16315,600000,38217,62
16317,600000,37949,62
16319,600000,38217,62
16321,600000,37815,62
16323,600000,38351,62
16326,600000,37547,62
16328,600000,37949,62
16330,600000,37949,62
16332,600000,38016,62
16334,600000,38083,62
16336,600000,38150,62
16338,600000,38217,62
16340,600000,38284,62
16342,600000,37480,62
16344,600000,38083,62
16346,600000,38217,62
16349,600000,38016,62
16351,600000,38150,62
16353,600000,38016,62
16355,600000,37949,62
16357,600000,38418,62
16359,408000,38351,62
16361,600000,38284,62
16363,600000,38619,62
16365,600000,38217,62
16367,600000,38083,62
16369,600000,38284,62
16372,600000,38284,62
16374,600000,37815,62
16376,600000,38217,62
16378,600000,38485,62
16380,600000,38284,62
16382,600000,38150,62
16384,600000,38418,62
16386,600000,38485,62
16388,600000,38351,62
16390,600000,38284,62
16392,600000,38619,62
16395,600000,38485,62
16397,600000,38485,62
16399,600000,38351,62
16401,600000,38753,62
16403,600000,38351,62
16405,600000,38284,62
16407,600000,38418,62
16409,600000,38418,62
16411,600000,38351,62
16413,600000,38418,62
16415,600000,38686,62
16418,600000,38217,62
16420,600000,38418,62
16422,600000,38284,62
16424,600000,38485,62
16426,600000,38820,62
16428,600000,38418,62
16430,600000,38619,62
16432,600000,38418,62
16434,600000,38887,62
16436,600000,38351,62
16438,600000,38954,62
16441,600000,38686,62
16443,600000,38686,62
16445,600000,38686,62
16447,600000,38954,62
16449,600000,38351,62
16451,600000,38552,62
16453,600000,38820,62
16455,600000,38820,62
16457,600000,39088,62
16459,600000,38284,62
16461,600000,38485,62
16464,600000,38686,62
16466,600000,39088,62
16468,600000,38820,62
16470,600000,38954,62
16472,600000,38887,62
16474,600000,38686,62
16476,600000,38753,62
16478,600000,38887,62
16480,600000,38619,62
16482,600000,38820,62
16484,600000,38418,62
16487,600000,38887,62
16489,600000,38351,62
16491,600000,38619,62
16493,600000,38552,62
16495,600000,38954,62
16497,600000,38887,62
16499,600000,38887,62
16501,600000,38887,62
16503,600000,38753,62
16505,600000,38887,62
16507,600000,38820,62
16510,600000,38954,62
16512,600000,39021,62
16514,600000,38753,62
16516,600000,39423,62
16518,600000,38887,62
16520,600000,38887,62
16522,600000,38954,62
16524,600000,38954,62
16526,600000,38485,62
16528,600000,38887,62
16530,600000,38820,62
16533,600000,38954,62
16535,600000,38887,62
16537,600000,38686,62
16539,600000,38619,62
16541,600000,39155,62
16543,600000,39021,62
16545,600000,39155,62
16547,600000,39155,62
16549,600000,38887,62
16551,600000,38686,62
16553,600000,39356,62
16556,600000,39155,62
16558,600000,39021,62
16560,600000,38954,62
16562,600000,39222,62
16564,600000,38753,62
16566,600000,38820,62
16568,600000,38820,62
16570,600000,39021,62
16572,600000,38820,62
16574,600000,38887,62
16576,600000,38485,62
16579,600000,39222,62
16581,600000,38753,62
16583,600000,38820,62
16585,600000,39289,62
16587,600000,38753,62
16589,600000,38418,62
16591,600000,39222,62
16593,600000,38887,62
16595,600000,39088,62
16597,600000,39088,62
16599,600000,39021,62
16602,600000,39289,62
16604,600000,38954,61
16606,600000,38954,61
16608,600000,39222,61
16610,600000,38954,61
16612,600000,38820,61
16614,600000,39021,61
16616,600000,39423,61
16618,600000,38820,61
16620,600000,39222,61
16623,600000,39624,61
16625,600000,39088,61
16627,600000,39222,61
16629,600000,38954,61
16631,600000,38820,61
16633,600000,38753,61
16635,600000,39155,61
16637,600000,39289,61
16639,408000,39222,61
16641,600000,39356,61
16643,600000,39222,61
16646,600000,39088,61
16648,600000,39356,61
16650,600000,38753,61
16652,600000,39356,61
16654,600000,39155,61
16656,600000,39289,61
16658,600000,38887,61
16660,600000,38552,61
16662,600000,39289,61
16664,600000,39088,61
16666,600000,39423,61
16669,600000,39088,61
16671,600000,39222,61
16673,600000,39624,61
16675,600000,39289,61
16677,600000,39423,61
16679,600000,39356,61
16681,600000,39490,61
16683,600000,39490,61
16685,600000,39490,61
16687,600000,39490,61
16689,600000,38753,61
16692,600000,39021,61
16694,600000,39155,61
RESULT armA: cc_delta=100 window_s=481 volt_end=3719000
