t,clock,temp,cap
17051,600000,37882,60
17053,600000,38619,60
17055,600000,38150,60
17057,600000,38485,60
17059,600000,38016,60
17061,600000,38418,60
17063,600000,38150,60
17065,600000,38150,60
17067,600000,38217,60
17069,600000,38418,60
17072,600000,38351,60
17074,600000,38083,60
17076,600000,38351,60
17078,600000,38485,60
17080,600000,38686,60
17082,600000,38753,60
17084,600000,38686,60
17086,600000,38485,60
17088,600000,38686,60
17090,600000,38217,60
17092,600000,38552,60
17095,600000,38619,60
17097,600000,38485,60
17099,600000,38820,60
17101,600000,38552,60
17103,600000,38284,60
17105,600000,38619,60
17107,600000,38552,60
17109,600000,38619,60
17111,600000,38619,60
17113,600000,38418,60
17115,600000,38418,60
17118,600000,38418,60
17120,600000,39021,60
17122,600000,38686,60
17124,600000,38686,60
17126,600000,38820,60
17128,600000,38887,60
17130,600000,38619,60
17132,600000,38820,60
17134,600000,38820,60
17136,600000,38820,60
17138,600000,39021,60
17141,600000,38753,60
17143,600000,39021,60
17145,600000,39088,60
17147,600000,38820,60
17149,600000,39021,60
17151,600000,38820,60
17153,600000,38686,60
17155,600000,38820,60
17157,600000,39021,60
17159,600000,39021,60
17161,600000,39021,60
17164,600000,38418,60
17166,600000,38351,60
17168,600000,38887,60
17170,600000,38887,60
17172,600000,38753,60
17174,600000,38887,60
17176,600000,39289,60
17178,600000,38753,60
17180,600000,39088,60
17182,600000,38887,60
17184,600000,38954,60
17187,600000,39088,60
17189,600000,39021,60
17191,600000,39423,60
17193,600000,39021,60
17195,600000,38686,60
17197,600000,38552,60
17199,600000,39021,60
17201,600000,39356,60
17203,600000,38820,60
17205,600000,39222,60
17207,600000,39222,60
17210,600000,39088,60
17212,600000,38820,60
17214,600000,39021,60
17216,600000,39557,60
17218,600000,38753,60
17220,600000,39088,60
17222,600000,39356,60
17224,600000,39356,60
17226,600000,39356,60
17228,600000,39557,60
17230,600000,38954,60
17233,600000,39155,60
17235,600000,39155,60
17237,600000,38954,60
17239,600000,39758,60
17241,600000,38820,60
17243,600000,39624,60
17245,600000,39423,60
17247,600000,39423,60
17249,600000,39021,60
17251,600000,39155,60
17254,600000,39490,60
17256,600000,39490,60
17258,600000,38820,60
17260,600000,39021,60
17262,600000,39423,60
17264,600000,38887,60
17266,600000,39490,60
17268,600000,39088,60
17270,600000,39222,60
17272,600000,39021,60
17274,600000,39289,60
17277,600000,39490,60
17279,600000,39155,60
17281,600000,39289,60
17283,600000,39423,60
17285,600000,39691,60
17287,600000,39423,60
17289,600000,38820,60
17291,600000,39289,60
17293,600000,39222,60
17295,600000,39088,60
17297,600000,38820,60
17300,600000,39021,60
17302,600000,39557,60
17304,600000,39356,60
17306,600000,39155,60
17308,600000,39423,60
17310,600000,39088,60
17312,600000,38887,60
17314,600000,39155,60
17316,600000,39155,60
17318,600000,38954,60
17320,600000,39088,60
17323,600000,39356,60
17325,600000,39423,60
17327,600000,39356,60
17329,600000,39222,60
17331,600000,39088,60
17333,600000,39289,60
17335,600000,39088,60
17337,600000,39289,60
17339,600000,39423,60
17341,600000,39088,60
17343,600000,39289,60
17346,600000,39222,60
17348,600000,39222,60
17350,600000,38485,60
17352,600000,39289,60
17354,600000,39088,60
17356,600000,39557,60
17358,600000,39021,60
17360,600000,39289,60
17362,600000,39222,59
17364,600000,39222,59
17366,600000,39021,59
17369,600000,39155,59
17371,600000,39088,59
17373,600000,38686,59
17375,600000,38619,59
17377,600000,39557,59
17379,600000,39490,59
17381,600000,38954,59
17383,600000,39088,59
17385,600000,39356,59
17387,600000,39155,59
17389,600000,38820,59
17392,600000,39021,59
17394,600000,39222,59
17396,600000,39289,59
17398,600000,39356,59
17400,600000,39624,59
17402,600000,39088,59
17404,600000,38887,59
17406,600000,39289,59
17408,600000,38820,59
17410,600000,39021,59
17412,600000,38954,59
17415,600000,39289,59
17417,600000,38753,59
17419,600000,38820,59
17421,600000,39155,59
17423,600000,39289,59
17425,600000,38954,59
17427,600000,39155,59
17429,600000,38954,59
17431,600000,38820,59
17433,600000,38887,59
17436,600000,38887,59
17438,600000,38887,59
17440,600000,39557,59
17442,600000,39088,59
17444,600000,39289,59
17446,600000,39088,59
17448,600000,39356,59
17450,600000,39289,59
17452,600000,38954,59
17454,600000,39021,59
17456,600000,39222,59
17459,600000,39021,59
17461,600000,39222,59
17463,600000,39356,59
17465,600000,39289,59
17467,600000,39289,59
17469,600000,39021,59
17471,600000,39557,59
17473,600000,38820,59
17475,600000,39155,59
17477,600000,39356,59
17479,600000,39289,59
17482,600000,39490,59
17484,600000,39088,59
17486,600000,39356,59
17488,600000,38887,59
17490,600000,39289,59
17492,600000,39356,59
17494,600000,39423,59
17496,600000,39624,59
17498,600000,38820,59
17500,600000,39356,59
17502,600000,39222,59
17505,600000,39356,59
17507,600000,39021,59
17509,600000,39356,59
17511,600000,39289,59
17513,600000,39356,59
17515,600000,39825,59
17517,600000,39356,59
17519,600000,39490,59
17521,600000,39423,59
17523,600000,38887,59
17525,600000,39222,59
17528,600000,39155,59
17530,600000,39356,59
RESULT armB: cc_delta=50 window_s=481 volt_end=3704000
