t,clock,temp,cap
21986,1416000,42371,50
21988,1416000,41969,50
21990,1416000,42505,50
21992,1416000,42170,50
21994,1416000,42505,50
21996,1416000,42170,50
21998,1416000,42572,50
22000,1416000,42639,50
22002,1416000,42438,50
22004,1416000,42505,50
22006,1416000,42572,50
22009,1416000,42371,50
22011,1416000,42304,50
22013,1416000,42706,50
22015,1416000,42572,50
22017,1416000,41969,50
22019,1416000,42639,50
22021,1416000,42103,50
22023,1200000,41701,50
22025,1008000,42103,50
22027,1008000,42170,50
22029,816000,42036,50
22031,816000,41165,50
22033,600000,41701,50
22035,600000,41701,50
22037,600000,41835,50
22039,1200000,41768,50
22042,1200000,42237,50
22044,1200000,41902,50
22046,1200000,41902,50
22048,1200000,42371,50
22050,1200000,42304,50
22052,1200000,42237,50
22054,1200000,42237,50
22056,1200000,42170,50
22058,1200000,42371,50
22060,1200000,41902,50
22062,1200000,42036,50
22064,1200000,42237,50
22066,1200000,42371,50
22068,1200000,41701,50
22070,1200000,42438,50
22072,1200000,42304,50
22074,1200000,42304,50
22076,1200000,42170,50
22078,1200000,41567,50
22081,1200000,41902,50
22083,1200000,42505,50
22085,1200000,42438,50
22087,1008000,42304,50
22089,1200000,42773,50
22091,1200000,42505,50
22093,1200000,42974,50
22095,1200000,41969,50
22097,1200000,41835,50
22099,816000,42103,50
22101,600000,41567,50
22103,600000,41768,50
22105,600000,41567,50
22107,600000,41969,50
22109,816000,41701,50
22112,1200000,42706,50
22114,1200000,42170,50
22116,1200000,42907,50
22118,1200000,42438,50
22120,1200000,42840,50
22122,1200000,42371,50
22124,1200000,42840,50
22126,1200000,42237,50
22128,1200000,42572,50
22130,1200000,42840,50
22132,1200000,42572,50
22134,1200000,42773,50
22136,1200000,42572,49
22138,1200000,42974,49
22140,1200000,43108,49
22142,1200000,43041,49
22144,1200000,43309,49
22146,1200000,43577,49
22149,1200000,42974,49
22151,1200000,43041,49
22153,1200000,42773,49
22155,1200000,43309,49
22157,1200000,43644,49
22159,1200000,43309,49
22161,1200000,43041,49
22163,1200000,43644,49
22165,1200000,43845,49
22167,1200000,43108,49
22169,1200000,42907,49
22171,1200000,44113,49
22173,1200000,43376,49
22175,1200000,43175,49
22177,600000,43175,49
22179,1200000,43577,49
22181,1200000,43644,49
22183,1200000,43175,49
