t,clock,temp,cap
22578,600000,42639,48
22580,600000,42974,48
22582,600000,42572,48
22584,600000,42706,48
22586,600000,42907,48
22589,600000,42639,48
22591,600000,42706,48
22593,600000,42639,48
22595,600000,42438,48
22597,600000,42371,48
22599,600000,42773,48
22601,600000,42639,48
22603,600000,42907,48
22605,600000,42974,48
22607,600000,42706,48
22609,600000,42505,48
22612,600000,43108,48
22614,600000,42639,48
22616,600000,42840,48
22618,600000,42773,48
22620,600000,43175,48
22622,600000,43041,48
22624,600000,42371,48
22626,600000,43175,48
22628,600000,42706,48
22630,600000,42706,48
22632,600000,42706,48
22635,600000,42974,48
22637,600000,43309,48
22639,600000,42974,48
22641,600000,43108,48
22643,600000,43041,48
22645,600000,42304,48
22647,600000,42773,48
22649,600000,43041,48
22651,600000,43175,48
22653,600000,42840,48
22656,600000,42907,48
22658,600000,43175,48
22660,600000,43041,48
22662,600000,42572,48
22664,600000,42639,48
22666,600000,42974,48
22668,600000,42907,48
22670,600000,42773,48
22672,600000,42706,48
22674,600000,43175,48
22676,600000,42840,48
22679,600000,43108,48
22681,600000,42974,48
22683,600000,43309,48
22685,600000,42840,48
22687,600000,42572,48
22689,600000,42840,48
22691,600000,42907,48
22693,600000,43108,48
22695,600000,42639,48
22697,600000,42907,48
22699,600000,42706,48
22702,600000,43376,48
22704,600000,43175,48
22706,600000,43175,48
22708,600000,43108,48
22710,600000,42706,48
22712,600000,43108,48
22714,600000,42907,48
22716,600000,43443,48
22718,600000,43443,48
22720,600000,43510,48
22722,600000,43175,48
22725,600000,42974,48
22727,600000,42706,48
22729,600000,43175,48
22731,600000,42907,48
22733,1200000,43510,48
22735,1200000,43644,48
22737,1200000,43778,48
22739,1200000,43711,48
22741,1200000,44046,48
22743,1200000,44314,48
22745,1008000,44649,48
22747,1200000,43711,48
22749,1200000,44381,48
22751,1200000,44582,48
22753,1200000,44180,48
22756,1008000,44381,48
22758,1200000,44381,48
22760,1200000,44515,48
22762,1200000,44582,48
22764,1200000,44649,48
22766,1200000,44180,48
22768,1200000,44314,48
22770,1200000,44180,48
22772,1200000,44716,48
22774,1200000,44113,48
22776,1200000,44515,48
22778,1200000,44314,48
22780,1200000,44582,48
22782,1200000,44716,48
22784,1200000,43845,48
22786,1200000,44381,48
22788,1200000,43979,48
22791,1200000,44113,48
22793,1008000,44247,48
22795,816000,44515,48
22797,816000,43577,48
22799,816000,44113,48
22801,816000,43242,48
22803,600000,43309,48
22805,600000,43309,48
22807,600000,43443,48
22809,600000,43510,48
22811,600000,43309,48
22813,600000,43242,48
22815,600000,42974,48
22818,600000,43510,48
22820,600000,43309,48
22822,600000,42907,48
22824,600000,43644,48
22826,600000,42773,48
22828,600000,43242,48
22830,600000,43108,48
22832,600000,43242,48
22834,600000,43242,48
22836,600000,42974,48
22839,600000,42974,48
22841,600000,43242,48
22843,600000,43242,48
22845,600000,42974,48
22847,600000,43644,48
22849,600000,43108,48
22851,600000,43242,48
22853,600000,42773,48
22855,600000,43041,48
22857,600000,43242,48
22859,600000,42840,48
22862,600000,43443,48
22864,600000,43175,48
22866,600000,42907,48
22868,600000,43376,47
22870,600000,43041,47
22872,600000,43242,47
22874,600000,43175,47
22876,600000,43175,47
22878,600000,43376,47
22880,600000,43711,47
22882,600000,43242,47
22885,600000,42773,47
22887,600000,43242,47
22889,600000,43242,47
22891,600000,42773,47
22893,600000,43108,47
22895,600000,43376,47
22897,600000,42974,47
22899,600000,43309,47
22901,600000,43309,47
22903,600000,42840,47
22905,600000,43309,47
22908,600000,42974,47
22910,600000,43175,47
22912,600000,43242,47
22914,600000,42773,47
22916,600000,43175,47
22918,600000,43041,47
22920,600000,43510,47
22922,600000,42907,47
22924,600000,43577,47
22926,600000,43108,47
22929,600000,42706,47
22931,600000,42840,47
22933,600000,43041,47
22935,600000,42773,47
22937,600000,42974,47
22939,600000,43242,47
22941,600000,43041,47
22943,600000,42706,47
22945,600000,43041,47
22947,600000,43041,47
22949,600000,43376,47
22952,600000,43309,47
22954,600000,43041,47
22956,600000,43443,47
22958,600000,43041,47
22960,600000,42907,47
22962,600000,43175,47
22964,600000,43376,47
22966,600000,42639,47
22968,600000,42773,47
22970,600000,42505,47
22972,600000,43108,47
22975,600000,43510,47
22977,600000,43376,47
22979,600000,43108,47
22981,600000,43778,47
22983,600000,43041,47
22985,600000,43443,47
22987,600000,43577,47
22989,600000,43577,47
22991,600000,43577,47
22993,600000,43175,47
22995,600000,43577,47
22998,600000,43108,47
23000,600000,43443,47
23002,408000,43577,47
23004,408000,43711,47
23006,600000,43242,47
23008,1200000,43577,47
23010,1200000,44314,47
23012,1200000,44314,47
23014,1200000,44381,47
23016,1200000,44716,47
23018,1200000,44515,47
23020,1200000,44515,47
23022,1200000,44582,47
23024,1200000,44783,47
23027,1200000,44582,47
23029,1200000,44582,47
23031,1200000,44448,47
23033,1008000,44448,47
23035,1200000,44180,47
23037,1200000,44917,47
23039,1200000,44582,47
23041,1200000,44515,47
23043,1200000,44649,47
23045,1200000,44917,47
23047,1200000,44783,47
23049,1008000,44381,47
23051,1200000,44783,47
23053,1200000,44381,47
23055,1200000,44448,47
23057,1200000,44381,47
RESULT armB: cc_delta=50 window_s=481 volt_end=3625000
