uptime_s,temp_mc,cur_khz,underruns_delta,game
3203,36341,1416000,0,1
3223,36140,1416000,0,1
3243,35470,1608000,0,1
3263,43108,1608000,0,1
3283,45185,1608000,0,1
3303,41701,1608000,0,1
3323,37145,1416000,0,1
3344,36408,1416000,0,1
3364,35738,1416000,0,1
3384,37815,1800000,0,1
3404,45587,1800000,0,1
3424,42036,1608000,0,1
3444,39691,1416000,0,1
3464,36408,1416000,0,1
3484,35872,1608000,0,1
3505,38418,1608000,0,1
3525,45721,1800000,0,1
3545,42304,1800000,0,1
3565,40495,1416000,0,1
3585,36609,1416000,0,1
3605,36408,1416000,0,1
3625,37547,1800000,0,1
3645,36408,1416000,0,1
3665,36207,1416000,0,1
3686,35604,1416000,0,1
3706,37480,1608000,0,1
3726,45855,1800000,0,1
3746,42036,1800000,0,1
3766,37078,1416000,0,1
3786,35939,1416000,0,1
3806,36408,1416000,0,1
3826,38083,1416000,0,1
3846,45386,1800000,0,1
3867,41500,1800000,0,1
3887,39289,1800000,0,1
3907,36274,1416000,0,1
3927,35939,1416000,0,1
3947,39490,1800000,0,1
3967,45587,1800000,0,1
