uptime_s,temp_mc,cur_khz,underruns_delta,game
1644,36207,1416000,0,1
1664,35604,1416000,0,1
1684,35805,1416000,0,1
1704,36006,1608000,0,1
1725,35805,1416000,0,1
1745,35738,1416000,0,1
1765,36341,1608000,0,1
1785,36207,1608000,0,1
1805,37681,1416000,0,1
1825,36408,1416000,0,1
1845,36341,1416000,0,1
1865,36006,1608000,0,1
1885,36944,1416000,0,1
1906,36073,1416000,0,1
1926,35537,1416000,0,1
1946,35939,1416000,0,1
1966,36408,1608000,0,1
1986,35068,1416000,0,1
2006,35939,1416000,0,1
2026,36475,1608000,0,1
2046,36006,1416000,0,1
2067,36341,1416000,0,1
2087,35671,1416000,0,1
2107,36542,1800000,0,1
2127,36006,1416000,0,1
