uptime_s,temp_mc,cur_khz,underruns_delta,game
1768,37279,1800000,0,1
1789,37279,1800000,0,1
1809,38083,1800000,0,1
1829,38016,1608000,0,1
1849,38820,1800000,0,1
1869,37949,1800000,0,1
1889,38351,1416000,0,1
1909,38016,1800000,0,1
1929,38753,1800000,0,1
1949,39691,1416000,0,1
1969,40227,1800000,0,1
1990,40428,1800000,0,1
2010,41031,1800000,0,1
2030,38753,1800000,0,1
2050,39222,1800000,0,1
2070,38552,1416000,0,1
2090,38217,1800000,0,1
2110,38485,1608000,0,1
2130,38887,1800000,0,1
2150,38418,1200000,0,1
2171,39624,1200000,0,1
2191,38485,1608000,0,1
2211,38954,1608000,0,1
