uptime_s,temp_mc,cur_khz,underruns_delta,game
678,32321,1800000,0,1
698,31919,1608000,0,1
718,32388,1608000,0,1
738,32254,1416000,0,1
758,32455,1608000,0,1
778,32723,1608000,0,1
798,32589,1608000,0,1
818,32589,1608000,0,1
838,32656,1416000,0,1
859,32522,1416000,0,1
879,32924,1416000,0,1
899,32388,1800000,0,1
919,33259,1416000,0,1
939,32723,1608000,0,1
959,33058,1800000,0,1
979,32857,1416000,0,1
999,32991,1416000,0,1
1019,33326,1416000,0,1
1040,33460,1608000,0,1
1060,33326,1608000,0,1
1080,33862,1416000,0,1
1100,33661,1416000,0,1
1120,33125,1608000,0,1
