uptime_s,temp_mc,cur_khz,underruns_delta,game
2686,35135,1608000,0,1
2706,36274,1608000,0,1
2726,35872,1608000,0,1
2746,40964,1608000,0,1
2766,42974,1608000,0,1
2787,41835,1608000,0,1
2807,37413,1608000,0,1
2827,36877,1608000,0,1
2847,36676,1608000,0,1
2867,39624,1608000,0,1
2887,43644,1608000,0,1
2907,43108,1608000,0,1
2927,41768,1608000,0,1
2947,37413,1608000,0,1
2967,37212,1608000,0,1
2987,40696,1608000,0,1
3008,43510,1608000,0,1
3028,42371,1608000,0,1
3048,40897,1608000,0,1
3068,37681,1608000,0,1
3088,37413,1608000,0,1
3108,40093,1608000,0,1
3128,38150,1608000,0,1
3148,37346,1608000,0,1
3168,37212,1608000,0,1
