uptime_s,temp_mc,cur_khz,underruns_delta,game
1258,35269,1608000,0,1
1278,37815,1608000,0,1
1298,38083,1608000,0,1
1318,38083,1608000,0,1
1338,38418,1608000,0,1
1358,38083,1608000,0,1
1378,38753,1608000,0,1
1398,38552,1608000,0,1
1419,39490,1608000,0,1
1439,39892,1608000,0,1
1459,40361,1608000,0,1
1479,40629,1608000,0,1
1499,40428,1608000,0,1
1519,39691,1608000,0,1
1539,40093,1608000,0,1
1559,39758,1608000,0,1
1579,39624,1608000,0,1
1599,39423,1608000,0,1
1620,40093,1608000,0,1
1640,39959,1608000,0,1
1660,40227,1608000,0,1
1680,39758,1608000,0,1
1700,40763,1608000,0,1
