uptime_s,temp_mc,cur_khz,underruns_delta,game
167,27430,1608000,0,1
187,28636,1608000,0,1
207,29440,1608000,0,1
227,29641,1608000,0,1
247,29172,1608000,0,1
267,30579,1608000,0,1
288,30780,1608000,0,1
308,30847,1608000,0,1
328,31383,1608000,0,1
348,31115,1608000,0,1
368,31182,1608000,0,1
388,31852,1608000,0,1
408,31383,1608000,0,1
428,32053,1608000,0,1
448,32254,1608000,0,1
468,32991,1608000,0,1
488,32656,1608000,0,1
509,32656,1608000,0,1
529,33192,1608000,0,1
549,33125,1608000,0,1
569,33259,1608000,0,1
589,33795,1608000,0,1
609,33125,1608000,0,1
