uptime_s,temp_mc,cur_khz,underruns_delta,game
4003,36743,1416000,0,1
4023,36408,1008000,0,1
4043,35336,1008000,0,1
4063,41969,1800000,0,1
4083,41366,1608000,0,1
4104,40294,1416000,0,1
4124,37882,1416000,0,1
4144,35939,1008000,0,1
4164,35738,1008000,0,1
4184,37480,1008000,0,1
4204,43711,1800000,0,1
4224,41768,1416000,0,1
4244,39289,1416000,0,1
4264,36676,1416000,0,1
4285,36140,1200000,0,1
4305,38351,1416000,0,1
4325,42304,1800000,0,1
4345,41500,1800000,0,1
4365,40763,1800000,0,1
4385,37949,1416000,0,1
4405,36274,1008000,0,1
4425,38284,1608000,0,1
4445,36877,1416000,0,1
4466,35805,1008000,0,1
4486,36140,1008000,0,1
