uptime_s,temp_mc,cur_khz,underruns_delta,game
2163,35805,1608000,0,1
2183,35671,1608000,0,1
2204,35135,1008000,0,1
2224,35001,1008000,0,1
2244,35068,1008000,0,1
2264,35001,1008000,0,1
2284,34465,1008000,0,1
2304,35202,1008000,0,1
2324,36341,1008000,0,1
2344,36274,1416000,0,1
2365,35403,1416000,0,1
2385,35939,1200000,0,1
2405,36274,1008000,0,1
2425,35805,1008000,0,1
2445,35671,1008000,0,1
2465,34934,1008000,0,1
2485,35068,1008000,0,1
2505,34465,1008000,0,1
2525,35202,1008000,0,1
2546,35671,1008000,0,1
2566,35604,1008000,0,1
2586,35202,1008000,0,1
2606,34934,1008000,0,1
2626,35470,1008000,0,1
2646,35001,1008000,0,1
