uptime_s,temp_mc,cur_khz,underruns_delta,game
582,36542,1416000,0,1
602,36944,1416000,0,1
623,37011,1416000,0,1
643,39892,600000,0,1
663,37346,1416000,0,1
683,37346,1416000,0,1
703,37279,1416000,0,1
723,38351,1416000,0,1
743,37614,1416000,0,1
763,37614,1416000,0,1
783,38351,1416000,0,1
804,38552,1416000,0,1
824,39021,1416000,0,1
844,39222,1416000,0,1
864,38217,1416000,0,1
884,38820,1200000,0,1
904,38753,1416000,0,1
924,38217,1416000,0,1
944,38217,1416000,0,1
964,38954,1416000,0,1
985,38552,1416000,0,1
1005,38686,1416000,0,1
1025,38418,1416000,0,1
1045,39155,1416000,0,1
1065,38820,1416000,0,1
1085,39624,1416000,0,1
1105,39557,1416000,0,1
