uptime_s,temp_mc,cur_khz,underruns_delta,game
4524,39088,408000,0,1
4544,39222,408000,0,1
4564,39289,408000,0,1
4584,39289,408000,0,1
4605,38887,408000,0,1
4625,39356,408000,0,1
4645,39356,408000,0,1
4665,39088,408000,0,1
4686,38619,408000,0,1
4706,39356,408000,0,1
4726,39356,408000,0,1
4747,39423,408000,0,1
4767,39155,408000,0,1
4787,39691,408000,0,1
4807,39289,408000,0,1
4828,39892,408000,0,1
4848,39825,408000,0,1
4868,39624,408000,0,1
4888,39021,408000,0,1
4909,39825,408000,0,1
4929,39423,408000,0,1
4949,39691,408000,0,1
4969,39356,408000,0,1
4990,39088,408000,0,1
5010,39825,408000,0,1
