uptime_s,temp_mc,khz,batt
179,29842,1800000,100
199,29306,1800000,100
220,31651,1800000,100
253,35403,1800000,100
273,36609,1800000,99
294,35001,1800000,99
314,32388,1800000,99
334,32656,1800000,99
355,35336,1800000,99
376,37212,1800000,99
396,38150,1800000,99
416,38753,1800000,98
437,34666,1800000,98
457,33996,1800000,98
477,34264,1608000,98
498,38619,1800000,98
518,39222,1800000,98
538,40160,1800000,98
559,39088,1800000,98
579,35001,1608000,97
599,35001,1800000,97
620,39021,1800000,97
640,35671,1800000,97
660,35470,1800000,97
