uptime_s,temp_mc,khz,gov,batt,load1
114,41165,2000000,performance,50,2.11
135,42639,2000000,performance,50,2.21
155,44381,2000000,performance,50,2.68
176,48200,2000000,performance,50,2.78
197,48535,2000000,performance,50,2.98
217,46659,2000000,performance,49,3.06
237,44046,2000000,performance,49,2.83
258,44247,2000000,performance,49,2.73
278,45788,2000000,performance,49,2.66
302,47865,2000000,performance,49,2.80
323,48535,2000000,performance,48,2.79
344,47195,2000000,performance,48,2.71
364,44180,2000000,performance,48,2.66
384,43845,2000000,performance,48,2.62
405,45721,2000000,performance,48,2.52
425,50612,2000000,performance,48,2.69
445,49674,2000000,performance,47,2.72
466,46860,2000000,performance,47,2.65
486,44850,2000000,performance,47,2.81
506,44984,2000000,performance,47,2.65
527,46994,2000000,performance,47,2.61
547,45118,2000000,performance,47,2.50
567,45587,2000000,performance,46,2.65
588,45319,2000000,performance,46,2.55
