uptime_s,temp_mc,khz,gov,batt,load1
1747,38619,1800000,schedutil,54,2.80
1773,37815,1800000,schedutil,54,2.95
1793,39155,1800000,schedutil,54,2.91
1814,42706,1800000,schedutil,54,2.94
1834,41969,1800000,schedutil,54,3.26
1854,38284,1800000,schedutil,54,3.32
1875,39959,1800000,schedutil,54,3.30
1895,38351,1800000,schedutil,54,3.14
1916,38351,1800000,schedutil,53,2.89
1936,38887,1800000,schedutil,53,2.91
1956,39691,1800000,schedutil,53,2.94
1977,43242,1800000,schedutil,53,3.03
1997,38418,1800000,schedutil,53,3.15
2017,38619,1800000,schedutil,53,3.16
2038,37614,1800000,schedutil,53,3.39
2058,38083,1800000,schedutil,52,3.15
2079,38552,1800000,schedutil,52,3.02
2099,38887,1800000,schedutil,52,3.01
2119,40428,1800000,schedutil,52,3.22
2140,38016,1800000,schedutil,52,3.22
2160,39825,1800000,schedutil,52,3.16
2181,38820,1416000,schedutil,52,3.26
2201,37949,1800000,schedutil,52,3.04
2222,38083,1800000,schedutil,51,3.09
