uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
78,38954,1800000,schedutil,91,2.02,2730,3973000
99,38150,1800000,schedutil,91,2.08,2730,3965000
119,38217,1800000,schedutil,91,2.26,2730,3950000
139,38619,1800000,schedutil,90,2.68,2700,3962000
160,38552,1800000,schedutil,90,2.86,2700,3964000
180,38418,1800000,schedutil,90,2.69,2700,3952000
201,39222,1800000,schedutil,90,2.86,2700,3951000
222,39222,1800000,schedutil,90,2.83,2700,3961000
243,39289,1800000,schedutil,90,2.67,2700,3955000
264,39490,1800000,schedutil,90,2.69,2700,3949000
284,38820,1800000,schedutil,90,2.71,2700,3921000
305,39959,1800000,schedutil,90,2.81,2700,3945000
325,39423,1800000,schedutil,90,2.79,2700,3955000
346,38753,1800000,schedutil,90,2.79,2700,3941000
366,39289,1800000,schedutil,90,2.76,2700,3951000
387,39892,1800000,schedutil,90,2.98,2700,3952000
407,39490,1800000,schedutil,89,2.85,2670,3933000
428,39624,1800000,schedutil,89,2.76,2670,3953000
448,40093,1800000,schedutil,89,2.76,2670,3955000
468,39892,1800000,schedutil,89,2.69,2670,3925000
489,39222,1800000,schedutil,89,2.64,2670,3950000
509,39624,1800000,schedutil,89,2.69,2670,3949000
530,39758,1800000,schedutil,89,2.71,2670,3928000
552,40026,1608000,schedutil,89,3.05,2670,3946000
