uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
1205,42773,1800000,schedutil,81,2.66,2430,3832000
1225,43443,1800000,schedutil,80,2.76,2400,3846000
1245,42304,1800000,schedutil,80,2.83,2400,3844000
1266,44314,1800000,schedutil,80,2.88,2400,3835000
1287,46324,1800000,schedutil,80,2.98,2400,3799000
1307,43711,1800000,schedutil,80,3.05,2400,3838000
1328,44314,1800000,schedutil,80,3.11,2400,3829000
1348,43644,1800000,schedutil,80,3.14,2400,3840000
1369,43912,1800000,schedutil,80,2.95,2400,3826000
1389,43711,1800000,schedutil,80,2.89,2400,3838000
1410,44180,1800000,schedutil,79,2.78,2370,3838000
1431,46525,1800000,schedutil,79,3.13,2370,3813000
1451,46324,1800000,schedutil,79,3.28,2370,3812000
1472,43644,1800000,schedutil,79,3.26,2370,3829000
1493,44850,1800000,schedutil,79,3.19,2370,3823000
1514,43979,1800000,schedutil,79,3.05,2370,3834000
1534,43309,1800000,schedutil,79,2.90,2370,3818000
1556,44448,1800000,schedutil,79,2.80,2370,3828000
1576,46257,1800000,schedutil,78,3.11,2340,3813000
1597,44448,1800000,schedutil,78,3.08,2340,3824000
1618,46257,1800000,schedutil,78,3.14,2340,3806000
1638,44180,1800000,schedutil,78,3.02,2340,3826000
1659,43577,1800000,schedutil,78,2.87,2340,3821000
1679,43376,1800000,schedutil,78,2.83,2340,3812000
