uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
79,39825,2000000,performance,70,1.95,2100,3737000
100,41969,2000000,performance,70,2.10,2100,3755000
121,42237,2000000,performance,70,2.13,2100,3742000
142,47463,2000000,performance,70,2.31,2100,3716000
163,47865,2000000,performance,70,2.66,2100,3693000
187,46458,2000000,performance,69,2.75,2070,3720000
208,43577,2000000,performance,69,2.61,2070,3735000
228,42572,2000000,performance,69,2.57,2070,3708000
250,44247,2000000,performance,69,2.63,2070,3715000
273,49205,2000000,performance,69,2.67,2070,3699000
294,48267,2000000,performance,69,2.68,2070,3698000
316,45252,2000000,performance,69,2.59,2070,3721000
337,44381,2000000,performance,68,2.57,2040,3730000
358,43778,2000000,performance,68,2.61,2040,3721000
379,48669,2000000,performance,68,2.57,2040,3698000
400,49473,2000000,performance,68,2.71,2040,3712000
420,50679,2000000,performance,68,2.73,2040,3693000
441,44850,2000000,performance,68,2.59,2040,3705000
462,45319,2000000,performance,68,2.56,2040,3722000
482,45855,2000000,performance,67,2.48,2010,3710000
503,46123,2000000,performance,67,2.41,2010,3718000
524,45453,2000000,performance,67,2.36,2010,3692000
544,44984,2000000,performance,67,2.32,2010,3718000
565,47530,2000000,performance,67,2.36,2010,3690000
