uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
79,40763,1200000,conservative,87,2.16,2610,3890000
101,40093,1008000,conservative,86,2.32,2580,3907000
122,40428,1008000,conservative,86,2.45,2580,3891000
143,41567,1008000,conservative,86,2.60,2580,3882000
164,42103,816000,conservative,86,2.85,2580,3893000
185,42170,816000,conservative,86,3.26,2580,3880000
206,41835,816000,conservative,86,3.32,2580,3887000
227,40897,1008000,conservative,86,3.15,2580,3886000
248,41433,1008000,conservative,86,2.97,2580,3880000
269,41567,1008000,conservative,86,2.99,2580,3889000
291,43041,1008000,conservative,85,3.07,2550,3866000
312,43041,1008000,conservative,85,3.17,2550,3884000
333,43041,1008000,conservative,85,3.20,2550,3866000
354,41098,816000,conservative,85,3.06,2550,3890000
375,41433,816000,conservative,85,3.04,2550,3885000
396,42237,816000,conservative,85,3.14,2550,3885000
417,43242,816000,conservative,85,3.17,2550,3870000
438,43510,816000,conservative,85,3.20,2550,3866000
459,42974,816000,conservative,85,3.27,2550,3868000
480,42237,816000,conservative,84,3.26,2520,3882000
501,41969,816000,conservative,84,3.12,2520,3866000
522,42103,816000,conservative,84,3.09,2520,3866000
543,42706,816000,conservative,84,3.07,2520,3859000
564,41634,816000,conservative,84,3.05,2520,3868000
