uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
642,43376,1200000,conservative,84,2.76,2520,3865000
663,42170,1008000,conservative,83,2.69,2490,3852000
684,42371,1008000,conservative,83,2.63,2490,3857000
705,42237,1008000,conservative,83,2.77,2490,3868000
726,41768,1008000,conservative,83,2.78,2490,3868000
747,41969,816000,conservative,83,2.85,2490,3860000
768,41969,816000,conservative,83,2.82,2490,3852000
789,42505,600000,conservative,83,2.80,2490,3849000
810,43108,816000,conservative,83,3.05,2490,3849000
832,43041,816000,conservative,83,2.97,2490,3860000
853,42639,816000,conservative,82,2.90,2460,3846000
874,43309,816000,conservative,82,2.78,2460,3841000
895,43376,816000,conservative,82,2.84,2460,3848000
916,42840,816000,conservative,82,2.83,2460,3849000
937,42974,816000,conservative,82,2.90,2460,3846000
958,43309,816000,conservative,82,2.71,2460,3843000
979,42974,816000,conservative,82,2.78,2460,3847000
1000,42907,816000,conservative,82,2.80,2460,3846000
1021,43711,816000,conservative,81,2.79,2430,3850000
1042,43577,816000,conservative,81,2.84,2430,3839000
1064,43309,816000,conservative,81,2.83,2430,3837000
1084,43510,816000,conservative,81,2.67,2430,3837000
1106,43376,816000,conservative,81,2.63,2430,3846000
1127,42974,1008000,conservative,81,2.81,2430,3836000
