uptime_s,temp_mc,khz,gov,batt,load1
1985,42907,1200000,conservative,28,2.56
2005,42103,1200000,conservative,28,2.47
2026,42706,1008000,conservative,27,2.67
2048,43979,1008000,conservative,27,2.83
2069,43577,1008000,conservative,27,2.94
2091,43912,1008000,conservative,27,3.03
2112,41969,1008000,conservative,27,2.94
2133,41634,816000,conservative,26,2.82
2154,41902,816000,conservative,26,2.79
2176,43644,816000,conservative,26,2.93
2197,43443,816000,conservative,26,3.23
2219,43510,600000,conservative,26,3.31
2240,42036,600000,conservative,26,3.22
2261,41902,600000,conservative,25,3.10
2282,41634,600000,conservative,25,3.07
2311,43041,600000,conservative,25,3.45
2336,43376,600000,conservative,25,3.70
2358,42907,816000,conservative,25,3.53
2380,43309,816000,conservative,24,3.44
2402,42639,816000,conservative,24,3.39
2424,42371,816000,conservative,24,3.07
2446,42907,1008000,conservative,24,2.98
2467,42505,816000,conservative,24,2.79
2489,41835,816000,conservative,23,2.71
