uptime_s,temp_mc,khz,gov,batt,load1
1777,39021,1200000,conservative,87,2.81
1798,37547,1200000,conservative,87,2.86
1819,38016,1008000,conservative,87,3.03
1840,39691,1008000,conservative,87,2.89
1860,39825,1008000,conservative,87,3.06
1881,39557,1008000,conservative,87,3.19
1902,38418,1008000,conservative,87,3.27
1923,38083,816000,conservative,87,3.12
1944,38083,816000,conservative,87,3.01
1965,38016,816000,conservative,87,3.03
1986,39356,816000,conservative,87,3.02
2007,39289,816000,conservative,86,3.33
2027,38552,816000,conservative,86,3.24
2048,38284,816000,conservative,86,3.03
2069,38083,816000,conservative,86,2.93
2090,38820,816000,conservative,86,2.95
2111,39289,816000,conservative,86,2.90
2132,39624,816000,conservative,86,3.05
2153,39758,816000,conservative,86,3.17
2174,38753,816000,conservative,86,3.06
2195,37949,816000,conservative,86,2.96
2216,38686,600000,conservative,86,2.91
2237,38150,600000,conservative,86,3.09
2258,38083,600000,conservative,86,2.92
