uptime_s,temp_mc,khz,gov,batt,load1
1366,40763,1200000,conservative,33,2.75
1388,41500,1200000,conservative,32,2.75
1409,41165,1008000,conservative,32,2.68
1430,41299,816000,conservative,32,2.56
1452,40629,816000,conservative,32,2.79
1473,41232,816000,conservative,32,2.92
1495,41031,816000,conservative,32,2.87
1516,41902,816000,conservative,31,2.98
1537,41634,816000,conservative,31,2.94
1559,41366,816000,conservative,31,2.82
1580,41433,816000,conservative,31,2.80
1602,41366,816000,conservative,31,3.00
1626,41433,816000,conservative,31,3.13
1648,41500,816000,conservative,30,3.16
1671,42036,816000,conservative,30,2.97
1705,41299,600000,conservative,30,2.94
1731,42170,600000,conservative,30,3.04
1754,41634,600000,conservative,30,2.94
1777,42304,600000,conservative,29,2.82
1799,41634,600000,conservative,29,2.87
1823,42036,600000,conservative,29,2.91
1850,41835,600000,conservative,29,2.99
1872,41634,600000,conservative,29,3.13
1895,42103,816000,conservative,28,3.10
