uptime_s,temp_mc,khz,gov,batt,load1
1221,37614,1200000,conservative,89,2.89
1242,36810,1008000,conservative,89,2.79
1263,36676,1008000,conservative,89,2.64
1283,37078,1008000,conservative,89,2.60
1304,36006,816000,conservative,89,2.49
1325,37212,816000,conservative,89,2.65
1346,37614,816000,conservative,89,2.64
1367,37480,816000,conservative,89,2.82
1387,37212,816000,conservative,89,2.93
1408,37480,816000,conservative,89,3.10
1429,37011,816000,conservative,89,2.93
1450,38083,816000,conservative,88,2.81
1471,37949,816000,conservative,88,2.87
1492,37681,816000,conservative,88,2.97
1513,36944,816000,conservative,88,2.92
1534,37346,816000,conservative,88,2.79
1554,37614,816000,conservative,88,3.09
1575,37614,816000,conservative,88,2.85
1596,38284,816000,conservative,88,2.96
1617,37949,816000,conservative,88,2.97
1638,37413,816000,conservative,88,2.91
1658,37815,816000,conservative,88,2.80
1679,38016,1008000,conservative,88,3.00
1700,37949,1008000,conservative,88,2.86
