uptime_s,temp_mc,khz,gov,batt,load1
676,41835,1200000,conservative,38,2.58
697,39423,1200000,conservative,38,2.71
718,40026,1200000,conservative,37,2.65
739,39557,1200000,conservative,37,2.75
760,40160,1200000,conservative,37,2.71
782,40026,1200000,conservative,37,2.94
804,40093,1200000,conservative,37,2.89
825,40026,1200000,conservative,37,2.85
847,40428,1200000,conservative,36,2.76
868,40964,1200000,conservative,36,2.76
889,41232,1200000,conservative,36,2.83
909,41567,1200000,conservative,36,2.82
931,41232,1200000,conservative,36,3.04
952,41232,1200000,conservative,36,2.95
975,41098,1200000,conservative,35,2.96
996,40830,1200000,conservative,35,3.31
1018,40964,1200000,conservative,35,3.15
1039,41232,1200000,conservative,35,3.04
1061,40629,1200000,conservative,35,2.98
1082,41232,1200000,conservative,35,2.85
1103,41098,1200000,conservative,35,2.83
1185,41433,1200000,conservative,34,2.90
1207,42505,1200000,conservative,34,2.87
1273,41433,1200000,conservative,33,2.75
