uptime_s,temp_mc,khz,gov,batt,load1
665,37279,1200000,conservative,91,2.69
686,35202,1200000,conservative,91,2.91
707,35537,1200000,conservative,91,2.86
727,36140,1200000,conservative,91,2.90
748,36006,1200000,conservative,91,2.94
769,36408,1200000,conservative,91,2.89
790,35202,1200000,conservative,91,2.85
811,36475,1200000,conservative,91,2.91
831,36810,1200000,conservative,91,2.79
852,36676,1200000,conservative,91,2.85
873,37145,1200000,conservative,91,2.96
894,37614,1200000,conservative,90,2.97
915,37681,1200000,conservative,90,3.05
935,36609,1200000,conservative,90,3.09
956,36944,1200000,conservative,90,3.05
977,37078,1200000,conservative,90,3.03
998,37413,1200000,conservative,90,2.96
1019,36609,1200000,conservative,90,2.83
1039,36743,1200000,conservative,90,2.80
1060,37480,1200000,conservative,90,2.72
1081,37748,1200000,conservative,90,2.91
1102,37145,1200000,conservative,90,2.87
1122,37815,1200000,conservative,90,2.90
1143,38418,1200000,conservative,90,2.93
