uptime_s,temp_mc,khz,gov,batt,load1
105,35604,1200000,conservative,42,2.23
126,34599,816000,conservative,42,2.24
147,35001,600000,conservative,41,2.54
169,35671,408000,conservative,41,2.80
190,35202,408000,conservative,41,3.08
211,35671,408000,conservative,41,2.99
233,35671,408000,conservative,41,3.04
254,35671,408000,conservative,41,3.02
275,36408,408000,conservative,40,3.09
296,36341,600000,conservative,40,3.13
317,36274,600000,conservative,40,2.95
338,37212,408000,conservative,40,2.75
360,36676,408000,conservative,40,2.89
381,37078,600000,conservative,40,2.87
402,36810,600000,conservative,40,2.76
423,37078,600000,conservative,39,2.76
445,37346,600000,conservative,39,2.61
466,37547,600000,conservative,39,2.60
487,37145,600000,conservative,39,2.98
509,37547,408000,conservative,39,2.91
530,37547,408000,conservative,39,2.89
553,38217,408000,conservative,39,2.85
575,37882,408000,conservative,38,2.82
596,37480,408000,conservative,38,2.81
