uptime_s,temp_mc,khz,gov,batt,load1
105,32388,1200000,conservative,94,2.36
126,30713,816000,conservative,93,2.33
147,31517,600000,conservative,93,2.30
168,31316,600000,conservative,93,2.43
189,31852,600000,conservative,93,2.45
210,31584,600000,conservative,93,2.59
231,31517,600000,conservative,93,2.79
252,31852,600000,conservative,93,2.70
273,31986,600000,conservative,93,2.65
294,32120,600000,conservative,93,2.67
315,32388,600000,conservative,93,2.69
336,32656,600000,conservative,93,2.60
357,32790,600000,conservative,93,2.50
378,32857,600000,conservative,92,2.56
398,33594,600000,conservative,92,2.55
420,32991,408000,conservative,92,2.47
441,33326,600000,conservative,92,2.58
462,32991,600000,conservative,92,2.70
483,33192,600000,conservative,92,2.64
504,33192,600000,conservative,92,2.75
525,33326,600000,conservative,92,2.76
546,33393,600000,conservative,92,2.73
567,33795,600000,conservative,92,2.60
588,34063,600000,conservative,92,2.71
