uptime_s,temp_mc,khz,gov,batt,load1
1200,37413,1416000,schedutil,58,2.70
1220,38016,1800000,schedutil,58,2.65
1241,38016,1416000,schedutil,58,2.62
1261,37614,1800000,schedutil,58,2.59
1282,37547,1800000,schedutil,57,2.50
1302,37614,1608000,schedutil,57,2.55
1322,38150,1608000,schedutil,57,2.61
1343,37547,1800000,schedutil,57,2.80
1363,37949,1800000,schedutil,57,2.79
1384,38686,1800000,schedutil,57,2.71
1404,37949,1800000,schedutil,57,2.86
1425,37949,1800000,schedutil,56,2.99
1445,38083,1800000,schedutil,56,3.05
1466,37815,1800000,schedutil,56,3.20
1486,37748,1800000,schedutil,56,3.23
1506,38686,1608000,schedutil,56,3.10
1527,38351,1800000,schedutil,56,2.93
1547,38083,1800000,schedutil,56,2.87
1568,37815,1800000,schedutil,56,2.76
1588,38284,1800000,schedutil,55,2.90
1609,37882,1800000,schedutil,55,2.86
1629,37949,1800000,schedutil,55,2.77
1649,38619,1800000,schedutil,55,2.83
1670,38083,1800000,schedutil,55,2.74
