uptime_s,temp_mc,khz,gov,batt,load1
655,37815,1800000,schedutil,61,2.88
675,37815,1800000,schedutil,61,2.93
696,38016,1800000,schedutil,61,2.96
716,38418,1800000,schedutil,61,2.83
736,38150,1800000,schedutil,61,2.81
757,38284,1800000,schedutil,61,2.86
777,37346,1800000,schedutil,60,2.76
797,37547,1608000,schedutil,60,2.75
818,38552,1800000,schedutil,60,2.84
838,39088,1800000,schedutil,60,2.95
858,42304,1800000,schedutil,60,2.88
879,41969,1800000,schedutil,60,2.92
899,43108,1800000,schedutil,60,2.80
920,38820,1800000,schedutil,60,2.79
940,39758,1416000,schedutil,59,2.85
960,39892,1800000,schedutil,59,2.82
981,39088,1800000,schedutil,59,2.89
1001,38351,1800000,schedutil,59,2.99
1021,39356,1800000,schedutil,59,2.99
1042,38820,1800000,schedutil,59,2.93
1062,38887,1800000,schedutil,59,3.10
1083,39423,1800000,schedutil,59,3.15
1103,39021,1800000,schedutil,58,3.03
1123,41768,1800000,schedutil,58,2.96
