uptime_s,temp_mc,khz,gov,batt,load1
108,36207,1800000,schedutil,64,2.15
129,35336,1800000,schedutil,64,2.63
149,35805,1800000,schedutil,64,2.73
170,36140,1800000,schedutil,64,2.67
190,36341,1800000,schedutil,64,2.78
210,36207,1800000,schedutil,63,2.85
231,36408,1800000,schedutil,63,2.69
251,35939,1800000,schedutil,63,2.70
272,36676,1800000,schedutil,63,2.74
292,36207,1416000,schedutil,63,2.81
313,36542,1800000,schedutil,63,2.86
333,36475,1800000,schedutil,63,2.90
353,35738,1800000,schedutil,63,2.93
374,36073,1800000,schedutil,63,2.73
394,36475,1800000,schedutil,63,2.87
415,36609,1800000,schedutil,62,2.76
435,36408,1800000,schedutil,62,2.90
455,36274,1800000,schedutil,62,2.85
476,36140,1800000,schedutil,62,2.83
496,37279,1416000,schedutil,62,2.82
516,36341,1800000,schedutil,62,2.66
537,36542,1800000,schedutil,62,2.83
557,36408,1800000,schedutil,62,2.75
578,36743,1800000,schedutil,62,2.69
