uptime_s,temp_mc,khz,gov,batt,load1
1746,36944,1608000,userspace,67,1.36
1766,36207,1608000,userspace,67,1.39
1786,36542,1608000,userspace,67,1.35
1807,41232,1608000,userspace,67,1.39
1827,42304,1608000,userspace,66,1.63
1848,43376,1608000,userspace,66,1.74
1868,43376,1608000,userspace,66,1.73
1888,37815,1608000,userspace,66,1.72
1909,37078,1608000,userspace,66,1.64
1929,36341,1608000,userspace,66,1.46
1949,42840,1608000,userspace,66,1.47
1970,43175,1608000,userspace,66,1.69
1990,43242,1608000,userspace,66,1.86
2011,43510,1608000,userspace,66,1.98
2031,39222,1608000,userspace,65,1.98
2052,37949,1608000,userspace,65,1.70
2072,37279,1608000,userspace,65,1.56
2093,42572,1608000,userspace,65,1.75
2113,43376,1608000,userspace,65,1.76
2134,43510,1608000,userspace,65,1.69
2154,44515,1608000,userspace,65,1.78
2174,40361,1608000,userspace,65,1.77
2195,38217,1608000,userspace,65,1.62
2215,37949,1608000,userspace,65,1.63
