uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
78,38619,1608000,userspace,92,1.09,2760,4016000
99,38217,1608000,userspace,92,1.07,2760,4007000
119,37681,1608000,userspace,92,1.13,2760,3999000
140,37748,1608000,userspace,92,1.09,2760,4006000
160,38284,1608000,userspace,92,1.06,2760,3997000
180,38351,1608000,userspace,92,1.12,2760,3990000
201,38887,1608000,userspace,92,1.31,2760,3974000
221,39624,1608000,userspace,92,1.22,2760,3983000
242,41299,1608000,userspace,92,1.24,2760,3999000
263,41701,1608000,userspace,92,1.38,2760,3979000
283,39691,1608000,userspace,92,1.41,2760,3978000
303,39959,1608000,userspace,92,1.58,2760,4003000
324,41500,1608000,userspace,92,1.63,2760,3983000
344,41567,1608000,userspace,92,1.82,2760,3992000
365,39959,1608000,userspace,92,1.81,2760,3974000
385,41366,1608000,userspace,92,1.59,2760,3986000
406,41500,1608000,userspace,92,1.72,2760,3964000
426,40428,1608000,userspace,91,1.81,2730,3999000
447,40562,1608000,userspace,91,1.65,2730,3996000
467,41969,1608000,userspace,91,1.77,2730,3975000
487,38284,1608000,userspace,91,1.61,2730,4005000
508,40361,1608000,userspace,91,1.66,2730,3990000
528,41634,1608000,userspace,91,1.54,2730,3985000
549,41634,1608000,userspace,91,1.54,2730,3962000
