uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
80,39892,1200000,userspace,89,1.19,2670,3970000
100,38619,1200000,userspace,89,1.32,2670,3939000
120,38820,1200000,userspace,88,1.36,2640,3972000
141,42237,1200000,userspace,88,1.54,2640,3940000
161,42103,1200000,userspace,88,1.67,2640,3943000
182,43175,1200000,userspace,88,1.83,2640,3938000
202,43443,1200000,userspace,88,1.88,2640,3949000
222,43845,1200000,userspace,88,1.91,2640,3923000
243,39557,1200000,userspace,88,1.80,2640,3954000
263,38820,1200000,userspace,88,1.57,2640,3963000
284,43175,1200000,userspace,88,1.56,2640,3942000
304,43175,1200000,userspace,88,1.69,2640,3932000
325,43242,1200000,userspace,88,1.78,2640,3936000
345,44113,1200000,userspace,88,1.93,2640,3924000
366,43644,1200000,userspace,88,2.08,2640,3944000
386,39557,1200000,userspace,88,1.92,2640,3957000
406,38820,1200000,userspace,88,1.72,2640,3934000
427,38619,1200000,userspace,88,1.67,2640,3942000
447,43242,1200000,userspace,87,1.62,2610,3936000
468,42974,1200000,userspace,87,1.80,2610,3916000
489,43242,1200000,userspace,87,2.00,2610,3927000
510,43443,1200000,userspace,87,2.00,2610,3926000
530,44582,1200000,userspace,87,2.21,2610,3927000
551,39021,1200000,userspace,87,1.93,2610,3954000
