uptime_s,temp_mc,khz,gov,batt,load1
1746,37145,1200000,userspace,14,1.58
1766,37078,1200000,userspace,14,1.49
1787,36810,1200000,userspace,14,1.49
1807,41634,1200000,userspace,14,1.56
1828,41232,1200000,userspace,14,1.69
1885,42706,1200000,userspace,13,2.01
1906,37815,1200000,userspace,13,1.79
1926,37748,1200000,userspace,13,1.73
1947,40562,1200000,userspace,13,1.68
1967,41768,1200000,userspace,13,1.69
1988,41768,1200000,userspace,13,1.78
2008,41701,1200000,userspace,12,1.97
2029,41768,1200000,userspace,12,2.06
2049,38887,1200000,userspace,12,2.04
2069,38016,1200000,userspace,12,1.75
2090,38485,1200000,userspace,12,1.61
2110,41701,1200000,userspace,12,1.81
2131,41500,1200000,userspace,12,1.80
2151,42371,1200000,userspace,11,2.03
2172,42371,1200000,userspace,11,2.02
2192,42505,1200000,userspace,11,2.15
2213,38150,1200000,userspace,11,2.04
2233,37614,1200000,userspace,11,1.75
2253,40428,1200000,userspace,11,1.67
