uptime_s,temp_mc,khz,gov,batt,load1
1740,38016,1200000,userspace,80,1.56
1761,37681,1200000,userspace,80,1.47
1781,37346,1200000,userspace,80,1.45
1801,41366,1200000,userspace,80,1.53
1822,41634,1200000,userspace,80,1.67
1842,42304,1200000,userspace,80,1.76
1864,42237,1200000,userspace,80,1.76
1884,40026,1200000,userspace,80,1.84
1905,37949,1200000,userspace,80,1.67
1925,37547,1200000,userspace,80,1.62
1946,41902,1200000,userspace,80,1.67
1966,42170,1200000,userspace,80,1.73
1987,42103,1200000,userspace,79,1.80
2007,42371,1200000,userspace,79,1.94
2028,42974,1200000,userspace,79,2.02
2048,38150,1200000,userspace,79,1.95
2069,38284,1200000,userspace,79,1.75
2089,41165,1200000,userspace,79,1.60
2109,42237,1200000,userspace,79,1.72
2130,42438,1200000,userspace,79,1.80
2150,43510,1200000,userspace,79,1.92
2171,42572,1200000,userspace,79,2.01
2191,39155,1200000,userspace,79,1.94
2212,38954,1200000,userspace,79,1.74
