uptime_s,temp_mc,khz,gov,batt,load1
1199,38083,1200000,userspace,17,1.58
1220,37212,1200000,userspace,17,1.49
1240,37145,1200000,userspace,17,1.35
1260,37011,1200000,userspace,17,1.39
1281,36676,1200000,userspace,17,1.39
1301,37078,1200000,userspace,17,1.42
1322,37815,1200000,userspace,16,1.46
1343,38351,1200000,userspace,16,1.48
1363,39691,1200000,userspace,16,1.79
1383,39557,1200000,userspace,16,1.85
1404,38686,1200000,userspace,16,1.82
1424,38217,1200000,userspace,16,1.93
1445,39088,1200000,userspace,16,1.88
1465,39289,1200000,userspace,16,1.78
1486,38217,1200000,userspace,16,1.63
1506,39959,1200000,userspace,15,1.71
1526,39825,1200000,userspace,15,1.72
1547,38150,1200000,userspace,15,1.72
1567,37882,1200000,userspace,15,1.60
1588,39423,1200000,userspace,15,1.71
1608,36877,1200000,userspace,15,1.58
1628,38552,1200000,userspace,15,1.56
1649,39624,1200000,userspace,15,1.62
1669,39356,1200000,userspace,15,1.65
