uptime_s,temp_mc,khz,gov,batt,load1
1194,37748,1200000,userspace,82,1.42
1214,37078,1200000,userspace,82,1.30
1234,37212,1200000,userspace,82,1.36
1255,37212,1200000,userspace,82,1.33
1275,37279,1200000,userspace,82,1.31
1295,37145,1200000,userspace,82,1.36
1316,38351,1200000,userspace,82,1.38
1336,38150,1200000,userspace,82,1.46
1357,39624,1200000,userspace,82,1.47
1377,40428,1200000,userspace,82,1.63
1397,37815,1200000,userspace,81,1.59
1418,39021,1200000,userspace,81,1.55
1438,39959,1200000,userspace,81,1.61
1459,39758,1200000,userspace,81,1.65
1479,38686,1200000,userspace,81,1.61
1499,39892,1200000,userspace,81,1.65
1520,39825,1200000,userspace,81,1.68
1540,38887,1200000,userspace,81,1.48
1561,38820,1200000,userspace,81,1.41
1581,39490,1200000,userspace,81,1.40
1602,37949,1200000,userspace,81,1.64
1622,38485,1200000,userspace,81,1.60
1642,40093,1200000,userspace,81,1.72
1663,40026,1200000,userspace,81,1.66
