uptime_s,temp_mc,khz,gov,batt,load1
650,39557,1200000,userspace,20,1.32
674,39356,1200000,userspace,20,1.48
694,39088,1200000,userspace,20,1.41
714,39557,1200000,userspace,20,1.59
735,39289,1200000,userspace,19,1.57
755,39423,1200000,userspace,19,1.82
776,39490,1200000,userspace,19,1.67
796,39222,1200000,userspace,19,1.69
817,39088,1200000,userspace,19,1.72
837,39691,1200000,userspace,19,1.73
857,39423,1200000,userspace,19,1.75
878,39892,1200000,userspace,19,1.97
898,40093,1200000,userspace,19,1.98
919,39155,1200000,userspace,18,1.91
939,39825,1200000,userspace,18,1.80
959,39557,1200000,userspace,18,1.72
980,40093,1200000,userspace,18,1.67
1000,39021,1200000,userspace,18,1.78
1020,38753,1200000,userspace,18,1.65
1041,39222,1200000,userspace,18,1.62
1061,39289,1200000,userspace,18,1.74
1082,39155,1200000,userspace,18,1.82
1102,39758,1200000,userspace,17,1.66
1122,39758,1200000,userspace,17,1.84
