uptime_s,temp_mc,khz,gov,batt,load1
647,38552,1200000,userspace,84,1.33
667,38552,1200000,userspace,84,1.23
687,38887,1200000,userspace,84,1.31
708,38016,1200000,userspace,84,1.56
728,38485,1200000,userspace,84,1.54
748,39021,1200000,userspace,83,1.82
769,39088,1200000,userspace,83,1.74
790,38887,1200000,userspace,83,1.75
810,39155,1200000,userspace,83,1.78
831,38954,1200000,userspace,83,1.69
851,39289,1200000,userspace,83,1.78
872,39557,1200000,userspace,83,1.77
892,39155,1200000,userspace,83,1.70
913,39021,1200000,userspace,83,1.57
933,38887,1200000,userspace,83,1.61
953,39289,1200000,userspace,83,1.58
974,39021,1200000,userspace,83,1.62
994,38753,1200000,userspace,83,1.66
1014,38820,1200000,userspace,83,1.68
1035,39088,1200000,userspace,83,1.70
1055,39423,1200000,userspace,82,1.71
1076,38954,1200000,userspace,82,1.67
1096,39758,1200000,userspace,82,1.62
1116,39758,1200000,userspace,82,1.80
