uptime_s,temp_mc,khz,gov,batt,load1
100,37748,1200000,userspace,85,1.13
120,36877,1200000,userspace,85,1.10
141,37078,1200000,userspace,85,1.07
161,37212,1200000,userspace,85,1.11
181,37145,1200000,userspace,85,1.30
202,36944,1200000,userspace,85,1.21
222,37078,1200000,userspace,85,1.31
243,37011,1200000,userspace,85,1.22
263,37011,1200000,userspace,85,1.16
284,37212,1200000,userspace,85,1.33
304,36542,1200000,userspace,85,1.32
324,36810,1200000,userspace,85,1.36
345,36676,1200000,userspace,85,1.38
365,36944,1200000,userspace,85,1.42
386,37078,1200000,userspace,84,1.38
406,37011,1200000,userspace,84,1.35
426,36743,1200000,userspace,84,1.31
447,36743,1200000,userspace,84,1.28
467,36274,1200000,userspace,84,1.28
488,36676,1200000,userspace,84,1.20
508,36609,1200000,userspace,84,1.29
528,36408,1200000,userspace,84,1.28
549,36207,1200000,userspace,84,1.33
569,36475,1200000,userspace,84,1.38
