uptime_s,temp_mc,khz,gov,batt,load1
1200,37346,1608000,userspace,69,1.42
1220,35872,1608000,userspace,69,1.30
1241,35805,1608000,userspace,69,1.27
1261,36341,1608000,userspace,69,1.19
1281,35738,1608000,userspace,68,1.28
1302,36073,1608000,userspace,68,1.27
1322,37011,1608000,userspace,68,1.34
1343,37145,1608000,userspace,68,1.31
1363,39423,1608000,userspace,68,1.51
1383,39222,1608000,userspace,68,1.59
1404,37078,1608000,userspace,68,1.49
1424,37748,1608000,userspace,68,1.35
1444,39423,1608000,userspace,68,1.39
1465,39222,1608000,userspace,68,1.51
1485,37346,1608000,userspace,68,1.44
1506,38753,1608000,userspace,68,1.53
1526,39557,1608000,userspace,68,1.63
1546,37815,1608000,userspace,67,1.52
1567,37346,1608000,userspace,67,1.58
1587,39088,1608000,userspace,67,1.56
1608,36006,1608000,userspace,67,1.47
1628,38284,1608000,userspace,67,1.40
1648,39222,1608000,userspace,67,1.36
1669,39356,1608000,userspace,67,1.46
