uptime_s,temp_mc,khz,gov,batt,load1
654,37279,1608000,userspace,71,1.26
674,37212,1608000,userspace,71,1.46
695,37145,1608000,userspace,70,1.55
715,37614,1608000,userspace,70,1.54
735,37212,1608000,userspace,70,1.58
756,37346,1608000,userspace,70,1.62
776,37279,1608000,userspace,70,1.58
797,37145,1608000,userspace,70,1.55
817,38150,1608000,userspace,70,1.53
838,37480,1608000,userspace,70,1.54
858,38083,1608000,userspace,70,1.53
879,38418,1608000,userspace,70,1.66
899,38686,1608000,userspace,70,1.70
919,37748,1608000,userspace,70,1.70
940,37815,1608000,userspace,70,1.72
960,37882,1608000,userspace,70,1.74
980,38418,1608000,userspace,69,1.78
1001,38150,1608000,userspace,69,1.78
1021,37949,1608000,userspace,69,1.69
1042,38485,1608000,userspace,69,1.70
1062,37614,1608000,userspace,69,1.58
1082,37815,1608000,userspace,69,1.57
1103,38217,1608000,userspace,69,1.48
1123,38954,1608000,userspace,69,1.55
