uptime_s,temp_mc,khz,gov,batt,load1
109,33393,1200000,userspace,72,1.17
129,33460,1200000,userspace,72,1.12
150,33460,1200000,userspace,72,1.15
170,33661,1200000,userspace,72,1.16
190,33661,1200000,userspace,72,1.33
211,34264,1200000,userspace,72,1.24
231,33594,1200000,userspace,72,1.24
251,33460,1200000,userspace,72,1.23
272,33661,1200000,userspace,72,1.23
292,33661,1200000,userspace,72,1.17
312,34130,1200000,userspace,72,1.27
333,33460,1200000,userspace,72,1.27
353,33326,1200000,userspace,71,1.26
373,33862,1200000,userspace,71,1.19
394,33594,1200000,userspace,71,1.20
414,33795,1200000,userspace,71,1.28
435,33527,1200000,userspace,71,1.28
455,33393,1200000,userspace,71,1.50
475,33527,1200000,userspace,71,1.36
496,33326,1200000,userspace,71,1.25
516,33460,1200000,userspace,71,1.25
536,33326,1200000,userspace,71,1.24
557,34130,1200000,userspace,71,1.17
577,33795,1200000,userspace,71,1.25
