uptime_s,temp_mc,khz,gov,batt,load1
1769,34465,1800000,schedutil,75,1.63
1790,33996,1800000,schedutil,75,1.52
1810,34800,1800000,schedutil,75,1.58
1831,42907,1800000,schedutil,74,1.89
1851,41232,1608000,schedutil,74,2.15
1872,39155,1416000,schedutil,74,2.26
1892,34465,1008000,schedutil,74,2.25
1912,34666,1008000,schedutil,74,2.11
1933,34063,1800000,schedutil,74,1.79
1953,42170,1800000,schedutil,74,1.91
1974,44247,1800000,schedutil,74,2.01
1994,39758,1416000,schedutil,74,2.01
2015,35336,1200000,schedutil,74,1.93
2035,34934,1200000,schedutil,74,1.80
2055,34465,1800000,schedutil,74,1.79
2076,42036,1800000,schedutil,74,2.06
2096,42036,1608000,schedutil,74,2.16
2117,39356,1608000,schedutil,73,2.25
2137,35068,1416000,schedutil,73,2.08
2158,34800,1008000,schedutil,73,1.78
2178,34264,1008000,schedutil,73,1.91
2199,37279,1008000,schedutil,73,2.14
2219,34800,1008000,schedutil,73,2.26
2240,34733,1008000,schedutil,73,2.02
