uptime_s,temp_mc,khz,gov,batt,load1
3059,35537,1800000,schedutil,15,1.20
3079,34934,1608000,schedutil,15,1.20
3100,36609,1800000,schedutil,14,1.29
3121,42974,1800000,schedutil,14,1.42
3141,43912,1800000,schedutil,14,1.58
3163,44180,1800000,schedutil,14,1.80
3183,36542,1800000,schedutil,14,1.70
3204,35872,1800000,schedutil,14,1.77
3224,36140,1800000,schedutil,14,1.76
3245,43510,1800000,schedutil,13,1.76
3266,44917,1800000,schedutil,13,1.83
3287,45118,1800000,schedutil,13,2.04
3308,36743,1800000,schedutil,13,1.88
3328,36207,1800000,schedutil,13,1.76
3349,36676,1800000,schedutil,13,1.76
3369,42304,1800000,schedutil,13,1.89
3390,45185,1800000,schedutil,12,2.06
3412,44716,1800000,schedutil,12,1.97
3432,37547,1800000,schedutil,12,1.78
3453,37212,1608000,schedutil,12,1.70
3473,37882,1800000,schedutil,12,1.57
3494,37011,1800000,schedutil,12,1.70
3514,36676,1800000,schedutil,11,1.73
3534,36542,1800000,schedutil,11,1.67
