uptime_s,temp_mc,khz,gov,batt,load1
3839,37145,1800000,schedutil,10,1.43
3860,37681,1800000,schedutil,10,1.52
3880,38485,1008000,schedutil,10,1.65
3902,42639,1800000,schedutil,10,1.75
3923,43175,1800000,schedutil,9,1.99
3944,41902,1800000,schedutil,9,1.92
3965,38217,1800000,schedutil,9,1.94
3985,37480,1800000,schedutil,9,1.75
4006,41165,1800000,schedutil,9,1.77
4027,42974,1800000,schedutil,9,1.77
4047,43510,1800000,schedutil,8,1.97
4068,42438,1800000,schedutil,8,1.99
4088,38552,1800000,schedutil,8,1.85
4109,38619,1800000,schedutil,8,1.75
4197,42438,1800000,schedutil,7,2.17
4218,39557,1800000,schedutil,7,2.05
4240,39222,1800000,schedutil,7,1.89
4430,39289,1800000,schedutil,5,2.06
4450,39691,1800000,schedutil,5,1.97
