uptime_s,temp_mc,khz,gov,batt,load1,charge_uah,volt_uv
1888,36341,1800000,schedutil,21,1.73,630,3503000
1910,35939,1800000,schedutil,21,1.73,630,3506000
1931,38686,1800000,schedutil,21,1.72,630,3473000
2018,37279,1800000,schedutil,21,2.05,630,3484000
2038,36743,1800000,schedutil,20,2.23,600,3501000
2059,36207,1800000,schedutil,20,2.15,600,3511000
2079,42103,1800000,schedutil,20,2.17,600,3485000
2100,42036,1800000,schedutil,20,2.32,600,3483000
2120,41701,1800000,schedutil,20,2.38,600,3480000
2141,38351,1608000,schedutil,20,2.42,600,3489000
2161,37145,1800000,schedutil,20,2.15,600,3508000
2182,36810,1800000,schedutil,19,2.08,570,3501000
2202,39155,1800000,schedutil,19,1.97,570,3483000
2223,42438,1800000,schedutil,19,2.21,570,3479000
2273,37547,1608000,schedutil,19,2.35,570,3503000
2293,37547,1608000,schedutil,19,2.39,570,3505000
2314,40093,1800000,schedutil,18,2.28,540,3473000
2334,37279,1800000,schedutil,18,2.19,540,3494000
2354,37480,1800000,schedutil,18,2.07,540,3501000
2375,36877,1416000,schedutil,18,1.97,540,3491000
2396,41969,1800000,schedutil,18,1.97,540,3467000
2417,42371,1800000,schedutil,18,1.90,540,3482000
2438,43175,1800000,schedutil,18,2.08,540,3465000
